Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3645675;1;18/01/2018 13:00;Strada Urbana;VIA DEI FORI IMPERIALI;da specificare;;;;in corrispondenza FORO TRAIANO;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;2;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1994;F;Rimandato;0;NON DECEDUTO;Esente;
3645675;1;18/01/2018 13:00;Strada Urbana;VIA DEI FORI IMPERIALI;da specificare;;;;in corrispondenza FORO TRAIANO;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;2;0;0;0;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1972;M;Rimandato;0;NON DECEDUTO;Esente;
3645699;8;18/01/2018 10:45;Strada Urbana;VIA DEL FOSSO DI S. MAURA;all'intersezione con;VIALE ANTONIO CIAMARRA;VIALE ANTONIO CIAMARRA;;;Tamponamento;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Wilier;triestina;Conducente;1964;M;Rimandato;0;NON DECEDUTO;Esente;
3649805;16;21/01/2018 10:00;;VIA SILVESTRI;in prossimità;;del civico n.;203;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;MARIN;(non accertato);Conducente;1970;M;Rimandato;0;NON DECEDUTO;Esente;
3649816;1;21/01/2018 10:25;Strada Urbana;VIALE DELLA PIRAMIDE CESTIA;in corrispondenza;;del civico n.;63;;Scontro laterale fra veicoli in marcia;Rettilineo;Più di due carreggiate;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Doniselli;(ignoto);Conducente;1978;F;Illeso;0;;Esente;
3650927;1;22/01/2018 21:00;Strada Urbana;VIALE DI TRASTEVERE;in corrispondenza;;del civico n.;81;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1977;F;Rimandato;0;NON DECEDUTO;Esente;
3651326;7;22/01/2018 15:30;Strada Urbana;VIA DEI CICLAMINI;in prossimità;;del civico n.;87;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1982;M;Rimandato;0;NON DECEDUTO;Esente;
3655327;1;25/01/2018 09:55;Strada Urbana;VIA DEL CORSO;in prossimità;;del civico n.;272;;Infortunio per sola frenata improvvisa;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1963;M;Illeso;0;;Esente;
3658674;18;27/01/2018 10:45;;VIA GREGORIO XI;in prossimità;;del civico n.;159;;Ribaltamento senza urto contro ostacolo fisso;;;;;;;;;;1;0;0;1;12,41792;41,89833;0;2;Velocipede;In marcia / fermata / arresto;Atala;(ignoto);Conducente;1960;F;Rimandato;0;NON DECEDUTO;Esente;
3659451;9;28/01/2018 19:55;;PIAZZA ZAMA;da specificare;;;;FC 32;Tamponamento;;;;;;;;;;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1993;M;Illeso;0;;Esente;
3661189;20;29/01/2018 19:50;Strada Urbana;VIA DELLA RISERVA DI LIVIA;in prossimità;;del palo luce n.;20;;Scontro frontale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;BTWIN;(ignoto);Conducente;1997;M;Rimandato;0;NON DECEDUTO;Esente;
3664521;9;31/01/2018 18:20;;VIA SATRICO;in prossimità;;del civico n.;33;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;2;1;0;4;;;0;8;Velocipede;In marcia / fermata / arresto;(non accertato);city bike;Conducente;1982;M;Prognosi riservata;0;NON DECEDUTO;Esente;
