Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3388326;2;09/07/2017 18:00;;VIALE FIORELLO LA GUARDIA;da specificare;;;;FR V.LE TARRACONA;Veicolo in marcia contro ostacolo fisso;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1982;M;Illeso;0;;Esente;
3388326;2;09/07/2017 18:00;;VIALE FIORELLO LA GUARDIA;da specificare;;;;FR V.LE TARRACONA;Veicolo in marcia contro ostacolo fisso;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;1981;F;Ricoverato;0;NON DECEDUTO;Esente;
3388495;1;09/07/2017 02:55;Strada Urbana;LARGO VISCONTI VENOSTA;all'intersezione con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1991;M;Rimandato;0;NON DECEDUTO;Esente;
3388495;1;09/07/2017 02:55;Strada Urbana;LARGO VISCONTI VENOSTA;all'intersezione con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;2;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Passeggero;2000;F;Ricoverato;0;NON DECEDUTO;Esente;
3389634;5;10/07/2017 14:30;;VIA TIBURTINA;da specificare;;;;altezza V.Brandizzi Gianni ferm.Atac dir. centro;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(ignoto);Conducente;0;M;Illeso;0;;Esente;
3390978;10;11/07/2017 21:30;;VIA TUSCOLANA;all'intersezione semaforizzata con;PIAZZA ASTI;PIAZZA ASTI;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Atala;(ignoto);Conducente;0;M;Illeso;0;;Esente;
3391035;1;10/07/2017 18:00;Strada Urbana;VIA DI S. PANTALEO;all'intersezione con;PIAZZA DI S. PANTALEO;PIAZZA DI S. PANTALEO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;3;;;0;1;Velocipede;In marcia / fermata / arresto;Graziella;(non accertato);Conducente;1993;F;Illeso;0;;Esente;
3391237;2;11/07/2017 16:40;Strada Urbana;VIA PIETRO DE COUBERTIN;da specificare;;;;altezza fronte civico 30;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Normale;Buona;Ore Diurne;2;0;0;0;12,47612;41,9303;0;2;Velocipede;In marcia / fermata / arresto;Collalti;(ignoto);Conducente;2004;F;Ricoverato;0;NON DECEDUTO;Esente;
3391427;1;08/07/2017 12:00;;VIALE MANZONI;all'intersezione con;VIA PRINCIPE EUGENIO;VIA PRINCIPE EUGENIO;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1965;M;Rimandato;0;NON DECEDUTO;Esente;
3392506;8;12/07/2017 18:15;Strada Urbana;VIA ERNESTO BREDA;all'intersezione con;VIA AMBROGIO NECCHI;VIA AMBROGIO NECCHI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;12,64296;41,86183;0;2;Velocipede;In marcia / fermata / arresto;Olmo;(non accertato);Conducente;1987;M;Illeso;0;;Esente;
