Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Largo Corinto 7;00146;RM;Roma;8;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Vincenzo Tangorra 1;00191;RM;Roma;15;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via del Caucaso 21/49 - Via Nairobi 40;00144;RM;Roma;9;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cassia 1530;00123;RM;Roma;15;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Corrado Segre 23 - Via Vito Volterra 45;00146;RM;Roma;8;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Prospero Colonna 89 - Via Giorgio Pallavicino 19;00149;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Oderisi da Gubbio 200/7;00146;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Oderisi da Gubbio 182;00146;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Raffaele Balestra 1/b;00152;RM;Roma;12;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Leopoldo Ruspoli 113;00149;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Riccardo Moretti 38;00123;RM;Roma;15;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Luigi Bartolucci 8;00149;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mecenate 79;00184;RM;Roma;1;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Divisione Torino 40;00143;RM;Roma;9;Italia;Larvicida e adulticida;6;6;lug-14;set-14;lug-14;set-14;2 settimane;2 settimane;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Abigaille Zanetta 11/13/23/33 - 68 - 118;00143;RM;Roma;9;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Abigaille Zanetta 3/6/7 - Via Margherita Mead 47;00143;RM;Roma;9;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Beata Savina Petrilli 6;00143;RM;Roma;9;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Linda Malnati 8/44;00143;RM;Roma;9;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Margherita Mead 13/23;00143;RM;Roma;;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Manlio Gelsomini 4;00143;RM;Roma;1;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Villa di Lucina 65;00145;RM;Roma;8;Italia;Larvicida e adulticida;1;1;lug-14;lug-14;lug-14;lug-14;1 volta;1 volta;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Costabella 12;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 29;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 169;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Giuseppe Mazzini 25;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Giuseppe Mazzini 145;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lungotevere dei Mellini 51;00193;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Durazzo 30;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Durazzo 34;00195;RM;Roma;1;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Monteverde 59;00151;RM;Roma;;Italia;Larvicida e adulticida;2;2;mag-14;ago-14;mag-14;ago-14;2 volte;2 volte;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Lorenzo Bonincontri 92;00147;RM;Roma;8;Italia;Larvicida e adulticida;4;4;01/08/2014;26/09/2014;01/08/2014;26/09/2014;2 al mese;2 al mese;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Divisione Torino 35;00143;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;ott-14;mag-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Conca d'Oro 43;00141;RM;Roma;3;Italia;Larvicida e adulticida;2;3;giu-14;lug-14;giu-14;ago-14;15-20 giorni;15-20 giorni;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Camillo Pilotto 51;00139;RM;Roma;3;Italia;Larvicida e adulticida;8;5;02/04/2014;17/10/2014;10/06/2014;05/10/2014;20 giorni;25-30 giorni;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Camillo Pilotto 79;00139;RM;Roma;3;Italia;Larvicida e adulticida;8;5;02/04/2014;17/10/2014;10/06/2014;05/10/2014;20 giorni;25-30 giorni;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Attilio Bertolucci 19-25;00131;RM;Roma;4;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Bufalotta 563;00139;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cesare Zavattini 51;00139;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Epomeo 3;00139;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Virginio Vespignani 51;00155;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Adolfo RavÖ;00142;RM;Roma;8;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Adolfo RavÖ;00142;RM;Roma;8;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Pisana 116;00163;RM;Roma;12;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Famiano Nardini 1 c/e;00162;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ettore Sacchi 25;00139;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gian Luca Squarcialupo 2;00162;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capo Miseno - Via dei Campi Flegrei 2/23/31;00141;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Fibreno 11;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Fibreno 16;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Clisio 9;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Marino 19;00198;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Trompia 64;00141;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Villa Ada 57 pal. C scala E/F;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Volsinio 7;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Bradano 6;00199;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Adige 35;00198;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Aterno 8;00198;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Civitavecchia 1;00198;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giosuä Borsi 21;00197;RM;Roma;2;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Piave 8;00187;RM;Roma;1;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Bianco 101;00141;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Peccioli 42-44;00139;RM;Roma;3;Italia;Larvicida e adulticida;7;3;02/04/2014;15/09/2014;03/06/2014;15/09/2014;20 giorni;mensile;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Alessandria 25;00198;RM;Roma;2;Italia;Larvicida e adulticida;3;3;ago-14;ott-14;ago-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Francesco Algarotti 8;00137;RM;Roma;3;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tino Buazzelli 6;00137;RM;Roma;4;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Casal Bianco 141;00131;RM;Roma;4;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nomentana 857;00137;RM;Roma;3;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Po 7-9;00198;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Franco Sacchetti 19;00137;RM;Roma;3;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corso Trieste 95;00198;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gaetano Donizetti 1;00198;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;ago-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Archimede 153;00197;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;set-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Gorizia 24  A-B-C;00198;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;set-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazzale Montesquieu 28 scale A/E;00137;RM;Roma;4;Italia;Larvicida e adulticida;8;8;mag-14;set-14;giu-14;set-14;2 settimane;2 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Passo del Furlo 61;00141;RM;Roma;3;Italia;Larvicida e adulticida;3;3;mag-14;set-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Pola 31;00198;RM;Roma;2;Italia;Larvicida e adulticida;4;4;mag-14;set-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mario Fascetti 90;00136;RM;Roma;14;Italia;Larvicida e adulticida;1;3;mag-14;set-14;giu-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Taranto 9;00182;RM;Roma;7;Italia;Larvicida e adulticida;3;3;31/07/2014;25/09/2014;31/07/2014;25/09/2014;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Fidene 25;00183;RM;Roma;7;Italia;Larvicida e adulticida;3;3;31/07/2014;25/09/2014;31/07/2014;25/09/2014;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Fidene 28;00183;RM;Roma;7;Italia;Larvicida e adulticida;3;3;31/07/2014;25/09/2014;31/07/2014;25/09/2014;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capodistria 5;00198;RM;Roma;2;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Moliterno 19;00178;RM;Roma;7;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ambrogio Traversari 26;00152;RM;Roma;12;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pietro Antonio Micheli 45;00197;RM;Roma;2;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Oderisi da Gubbio 62;00146;RM;Roma;11;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
