CD	Compact disc	B1	BIBLIOTECA VILLA LEOPARDI	3597	4605
CD	Compact disc	B3	BIBLIOTECA FLAMINIA	1056	1394
CD	Compact disc	BR	BIBLIOTECA CENTRALE PER RAGAZZI	7	14
CD	Compact disc	C1	BIBLIOTECA TULLIO DE MAURO	414	469
CD	Compact disc	D1	BIBLIOTECA ENNIO FLAIANO	1058	1435
CD	Compact disc	E1	BIBLIOTECA VACCHERIA NARDI	1659	2060
CD	Compact disc	F1	BIBLIOTECA GOFFREDO MAMELI	692	864
CD	Compact disc	F2	BIBLIOTECA PENAZZATO	606	744
CD	Compact disc	G1	BIBLIOTECA GIANNI RODARI	1027	1240
CD	Compact disc	H1	BIBLIOTECA RUGANTINO	1477	1976
CD	Compact disc	I1	BIBLIOTECA NELSON MANDELA	1443	1867
CD	Compact disc	L1	BIBLIOTECA RAFFAELLO	1195	1208
CD	Compact disc	M1	BIBLIOCAFFE' LETTERARIO	1105	1363
CD	Compact disc	N1	BIBLIOTECA PIER PAOLO PASOLINI	1182	1588
CD	Compact disc	O2	BIBLIOTECA ELSA MORANTE	2589	2780
CD	Compact disc	Q1	BIBLIOTECA GUGLIELMO MARCONI	2498	3028
CD	Compact disc	Q2	BIBLIOTECA RENATO NICOLINI	1985	2472
CD	Compact disc	R1	BIBLIOTECA COLLI PORTUENSI	584	719
CD	Compact disc	R2	BIBLIOTECA LONGHENA	1017	1022
CD	Compact disc	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	16	28
CD	Compact disc	S1	BIBLIOTECA GIORDANO BRUNO	373	507
CD	Compact disc	T1	BIBLIOTECA VALLE AURELIA	2031	2337
CD	Compact disc	T2	BIBLIOTECA CORNELIA	1403	1616
CD	Compact disc	U1	BIBLIOTECA FRANCO BASAGLIA	2403	2789
CD	Compact disc	V1	BIBLIOTECA GALLINE BIANCHE	4	4
CD	Compact disc	X1	BIBLIOBUS	407	454
CD	Compact disc	Z4	REBIBBIA NUOVO COMPLESSO	3	3
CD	Compact disc	H2	BIBLIOTECA BORGHESIANA	495	600
CD	Compact disc	A5	BIBLIOTECA CASA DELLA MEMORIA	2	2
CD	Compact disc	L3	BIBLIOTECA CASA DEI BIMBI	187	275
CD	Compact disc	O1	BIBLIOTECA SANDRO ONOFRI	830	1162
CD	Compact disc	U2	BIBLIOTECA CASA DEL PARCO	7	7
CD	Compact disc	G2	TEATRO BIBLIOTECA QUARTICCIOLO	375	446
CD	Compact disc	A6	BIBLIOTECA CASA DELLE TRADUZIONI	1	1
CD	Compact disc	E2	BIBLIOTECA ALDO FABRIZI	10	12
CE	Cartografia a stampa	A3	BIBLIOTECA ENZO TORTORA	1	1
CE	Cartografia a stampa	B1	BIBLIOTECA VILLA LEOPARDI	2	2
CE	Cartografia a stampa	B3	BIBLIOTECA FLAMINIA	2	2
CE	Cartografia a stampa	BR	BIBLIOTECA CENTRALE PER RAGAZZI	1	3
CE	Cartografia a stampa	C1	BIBLIOTECA TULLIO DE MAURO	3	3
CE	Cartografia a stampa	D1	BIBLIOTECA ENNIO FLAIANO	1	1
CE	Cartografia a stampa	E1	BIBLIOTECA VACCHERIA NARDI	1	2
CE	Cartografia a stampa	F1	BIBLIOTECA GOFFREDO MAMELI	2	2
CE	Cartografia a stampa	F2	BIBLIOTECA PENAZZATO	1	1
CE	Cartografia a stampa	H1	BIBLIOTECA RUGANTINO	1	1
CE	Cartografia a stampa	I1	BIBLIOTECA NELSON MANDELA	3	3
CE	Cartografia a stampa	L1	BIBLIOTECA RAFFAELLO	1	1
CE	Cartografia a stampa	N1	BIBLIOTECA PIER PAOLO PASOLINI	1	1
CE	Cartografia a stampa	Q1	BIBLIOTECA GUGLIELMO MARCONI	7	8
CE	Cartografia a stampa	Q2	BIBLIOTECA RENATO NICOLINI	1	1
CE	Cartografia a stampa	R1	BIBLIOTECA COLLI PORTUENSI	3	3
CE	Cartografia a stampa	R2	BIBLIOTECA LONGHENA	1	1
CE	Cartografia a stampa	S1	BIBLIOTECA GIORDANO BRUNO	1	1
CE	Cartografia a stampa	T1	BIBLIOTECA VALLE AURELIA	1	1
CE	Cartografia a stampa	T2	BIBLIOTECA CORNELIA	3	3
CE	Cartografia a stampa	U1	BIBLIOTECA FRANCO BASAGLIA	1	1
CE	Cartografia a stampa	V1	BIBLIOTECA GALLINE BIANCHE	1	1
CE	Cartografia a stampa	WF	BIBLIOTECA WWF ITALIA P.L.FLORIO	2	2
CE	Cartografia a stampa	H2	BIBLIOTECA BORGHESIANA	1	1
CE	Cartografia a stampa	A5	BIBLIOTECA CASA DELLA MEMORIA	6	6
CE	Cartografia a stampa	L3	BIBLIOTECA CASA DEI BIMBI	1	1
CE	Cartografia a stampa	O1	BIBLIOTECA SANDRO ONOFRI	2	47
CE	Cartografia a stampa	WA	BIBLIOTECA FABRIZIO GIOVENALE	4	4
CE	Cartografia a stampa	H3	COLLINA DELLA PACE	1	1
CS	Cassetta sonora	A1	BIBLIOTECA EUROPEA	2	2
CS	Cassetta sonora	A3	BIBLIOTECA ENZO TORTORA	3	3
CS	Cassetta sonora	B1	BIBLIOTECA VILLA LEOPARDI	227	278
CS	Cassetta sonora	B3	BIBLIOTECA FLAMINIA	2	2
CS	Cassetta sonora	D1	BIBLIOTECA ENNIO FLAIANO	1	1
CS	Cassetta sonora	E1	BIBLIOTECA VACCHERIA NARDI	3	5
CS	Cassetta sonora	F1	BIBLIOTECA GOFFREDO MAMELI	2	2
CS	Cassetta sonora	F2	BIBLIOTECA PENAZZATO	1	1
CS	Cassetta sonora	G1	BIBLIOTECA GIANNI RODARI	5	7
CS	Cassetta sonora	H1	BIBLIOTECA RUGANTINO	4	7
CS	Cassetta sonora	I1	BIBLIOTECA NELSON MANDELA	79	82
CS	Cassetta sonora	L1	BIBLIOTECA RAFFAELLO	13	15
CS	Cassetta sonora	M1	BIBLIOCAFFE' LETTERARIO	4	4
CS	Cassetta sonora	N1	BIBLIOTECA PIER PAOLO PASOLINI	4	6
CS	Cassetta sonora	O2	BIBLIOTECA ELSA MORANTE	2	2
CS	Cassetta sonora	Q1	BIBLIOTECA GUGLIELMO MARCONI	5	5
