NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
2779;20040614;112167;VIA VIBIO MARIANO;36; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;22;ALTRO; ; 
2780;20040615;41847;VIA FLAMINIA;763; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;11;SARTORIA; ; 
2781;20040623;121918;VIA CESARE MEANO;24; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;8;CARROZZERIA; ; 
2782;20040624;41847;VIA FLAMINIA;972; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;22;ALTRO; ; 
2783;20040628;90164;VICOLO DI PRATO CORAZZA;1; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
2785;20040720;19284;VIA CANINO;10; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;22;ALTRO; ; 
2786;20040805;102003;VIA DELLA STAZIONE DI CESANO;373; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;27;TAPPEZZERIA; ; 
2787;20040701;40783;VIA FIGLINE VALDARNO;7; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ; 
2788;20040701;12421;VIA DI BACCANELLO;111; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;16;PRODOTTI TESSILI E BIANCHERIA; ; 
2789;20040705;117689;VIA ANTONIO LABRANCA;44; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;0;; ; 
2790;20040708;51194;VIA GIOVANNI ARRIVABENE;63; ;27.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;15;COSMETICI E ARTICOLI DI PROFUMERIA; ;NON ALIMENTARE
2791;20040712;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
2792;20040715;112167;VIA VIBIO MARIANO;38; ;38.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;18;CALZATURE ED ARTICOLI IN CUOIO; ;NON ALIMENTARE
2793;20040716;64956;LARGO LUIGI AMEDEO MELEGARI;9; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;18;CALZATURE ED ARTICOLI IN CUOIO; ;NON ALIMENTARE
2794;20040622;111331;VIA VEIENTANA VETERE;304; ;0.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;;ALIMENTARE;NON ALIMENTARE
2795;19950926;2354;VIA ALBAVILLA;74; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
2796;19951026;2354;VIA ALBAVILLA;46; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
2797;20040720;112695;VIA DI VIGNA STELLUTI;179; ;40.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
2798;19960514;20231;VIA CAPRAROLA;16; ;47.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2799;19941018;41847;VIA FLAMINIA;806; ;36.2;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2800;19881124;121918;VIA CESARE MEANO;18; ;30.02;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2801;19950926;106063;VIALE DI TOR DI QUINTO;55; ;163.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2802;20000331;41847;VIA FLAMINIA;467; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
2804;19971124;34892;VIA DEI DUE PONTI;212; ;63.15;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2805;19870518;112695;VIA DI VIGNA STELLUTI;180; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
2806;19990422;41856;VIA FLAMINIA NUOVA;276; ;1.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2807;19960223;16357;VIA BRACCIANENSE;33; ;38.46;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2808;20000516;16357;VIA BRACCIANENSE;35;B;80.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2809;20000420;134266;VIA FRANCESCO SERRITELLI;31; ;88.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2810;19980211;41847;VIA FLAMINIA;675; ;50.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2811;19961007;41847;VIA FLAMINIA;655; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2812;19700518;41856;VIA FLAMINIA NUOVA;8;KM;1.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2813;19810625;54263;VIA GIULIO FRASCHERI;96; ;60.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2814;19850306;155100;VIA FALCADE;38; ;250.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2815;19981109;113586;VIA DI VILLA SEVERINI;30; ;70.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2816;19961218;88671;PIAZZALE DI PONTE MILVIO;26; ;57.45;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2817;19711013;39293;VIA DELLA FARNESINA;237; ;1.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2818;19920214;39293;VIA DELLA FARNESINA;149; ;380.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
2819;20000330;13521;VIA BARTOLOMEO GOSIO;118; ;24.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
4970;20100325;21405;VIA CARLO EMERY;61;B;203.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
4971;20100308;118086;VIA ANTON GIULIO BRAGAGLIA;29;Q;62.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4972;20100420;123101;VIA BOZZOLO;16; ;75.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6564;20141125;155513;VIA DOMENICO FALCIONI;13; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ; 
6565;20141118;75709;VIA DEI MONTI DELLA FARNESINA;90; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;0;; ; 
6566;20141115;24167;VIA CASSIA;1695; ;170.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6567;20141110;63966;VIA LUBRIANO;28; ;62.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6568;20141110;57893;VIA DI GROTTAROSSA;126;C;52.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6569;20141111;24167;VIA CASSIA;1415;A;45.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6570;20141030;148467;VIA GIACINTO GALLINA;28; ;0.0;3;PUBBLICI ESERCIZI;25;SOMM. SCUOLE,OSPEDALI (LR 21/2006 ART. 6 c.1 l.h);0;; ; 
6571;20141030;49302;VIA GIACOMO MALVANO;20; ;0.0;3;PUBBLICI ESERCIZI;25;SOMM. SCUOLE,OSPEDALI (LR 21/2006 ART. 6 c.1 l.h);0;; ; 
6572;20141029;124674;LARGO CESARE VICO LODOVICI;9; ;0.0;3;PUBBLICI ESERCIZI;25;SOMM. SCUOLE,OSPEDALI (LR 21/2006 ART. 6 c.1 l.h);0;; ; 
6573;20141113;169224;VIA SULBIATE;6; ;53.0;8;ALTRE ATTIVITA';45;PHONE CENTER/INTERNET POINT;0;; ; 
6574;20141202;96984;VIA SAN GODENZO;78; ;50.0;8;ALTRE ATTIVITA';45;PHONE CENTER/INTERNET POINT;0;; ; 
6575;20141116;79992;VIA DEGLI ORTI DELLA FARNESINA;100;A;28.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;16;PRODOTTI TESSILI E BIANCHERIA; ;NON ALIMENTARE
6576;20141115;24167;VIA CASSIA;1695; ;16.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);16;NOLEGGIO SENZA CONDUCENTE;0;; ; 
6577;20141201;31406;VIALE CORTINA D'AMPEZZO;178; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;0;; ; 
6578;20141114;34892;VIA DEI DUE PONTI;235; ;58.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
6579;20141118;24167;VIA CASSIA;1695; ;170.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6580;20141211;56302;VIA GIUSEPPE PRINOTTI;5; ;30.0;8;ALTRE ATTIVITA';45;PHONE CENTER/INTERNET POINT;0;; ; 
6581;20141120;12421;VIA DI BACCANELLO;275;A;82.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6582;20141028;24167;VIA CASSIA;1740; ;25.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6583;20141026;41856;VIA FLAMINIA NUOVA;216; ;35.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);16;NOLEGGIO SENZA CONDUCENTE;0;; ; 
6584;20141120;24167;VIA CASSIA;905; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;0;; ; 
6585;20141121;169224;VIA SULBIATE;6; ;53.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6587;20141126;24167;VIA CASSIA;1170; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;0;; ; 
6589;20141128;24167;VIA CASSIA;1821; ;57.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
6590;20141202;107767;VIA TRIONFALE;13840; ;21.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6591;20141201;56302;VIA GIUSEPPE PRINOTTI;4; ;37.35;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6592;20141211;15037;VIA BEVAGNA;9; ;197.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6593;20141212;39293;VIA DELLA FARNESINA;15; ;10.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6594;20141201;29470;VIA COLLEGIOVE;39; ;16.5;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;77;COSTRUZIONE APPARECCHIATURE ELETTRONICHE; ; 
6595;20141201;29470;VIA COLLEGIOVE;39; ;43.36;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4308;20060904;24167;VIA CASSIA;1827;B;70.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4309;20060928;41012;PIAZZA FILIPPO CARLI;36; ;38.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4310;20060925;8305;VIA ANTONIO SERRA;26;D;38.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4311;20061031;56843;VIA DELLA GIUSTINIANA;91;A;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;7;TINTORIA; ; 
4312;20061109;24167;VIA CASSIA;1333;D;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
4314;20061002;102872;VIA DELLA STORTA;938; ;60.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
4315;20061004;79992;VIA DEGLI ORTI DELLA FARNESINA;197; ;35.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
4316;20061005;34892;VIA DEI DUE PONTI;177; ;200.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
4317;20061010;39293;VIA DELLA FARNESINA;83; ;80.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
4318;20061012;112695;VIA DI VIGNA STELLUTI;153; ;90.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;15;COSMETICI E ARTICOLI DI PROFUMERIA; ;NON ALIMENTARE
4319;20061012;6480;VIA ANGUILLARESE;0; ;64.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
4320;20061016;15037;VIA BEVAGNA;104; ;65.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4321;20061016;50913;VIA S. GIOVANNA ELISABETTA;36; ;42.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4322;20061017;6480;VIA ANGUILLARESE;98; ;45.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4323;20061024;110505;VIA VALLE DELLA STORTA;23; ;70.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4324;20061023;24167;VIA CASSIA;637; ;70.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
4325;20061019;24167;VIA CASSIA;1740;B;30.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4326;20061017;24167;VIA CASSIA;1821;Q;45.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4327;20061019;60071;VIA ISCHIA DI CASTRO;4;S;26.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4328;20061030;104720;VIA TIBERINA;210;E;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4329;20061130;34892;VIA DEI DUE PONTI;222;E;31.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4330;20061107;45584;VIA FRANCESCO SAVERIO NITTI;66; ;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4331;20061109;107767;VIA TRIONFALE;13840; ;25.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4332;20061109;111331;VIA VEIENTANA VETERE;0; ;40.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4333;20061116;24167;VIA CASSIA;2040; ;4.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4334;20061116;12421;VIA DI BACCANELLO;292;B;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4335;20061128;24167;VIA CASSIA;1134; ;40.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4336;20061114;112695;VIA DI VIGNA STELLUTI;180; ;229.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4337;20061106;88572;VIA DEL PONTE DEGLI INCASTRI;49; ;203.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4338;20061128;41847;VIA FLAMINIA;508; ;190.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4339;20061128;29801;VIA DEI COLLI DELLA FARNESINA;144; ;3.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4340;20061128;24167;VIA CASSIA;2040; ;42.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4341;20061128;24167;VIA CASSIA;2040; ;11.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4342;20061221;112695;VIA DI VIGNA STELLUTI;174; ;60.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4369;20070208;102311;VIA DELLA STAZIONE DELLA STORTA;8; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;17;MECCANICI; ; 
4370;20070208;108241;VIA TUSCANIA;29; ;17.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4371;20070212;108241;VIA TUSCANIA;29; ;17.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4372;20070424;107767;VIA TRIONFALE;13840; ;51.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4373;20070222;107767;VIA TRIONFALE;13840; ;51.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4374;20070222;132963;VIA VITTORIO DE SICA;42; ;60.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4375;20070223;24167;VIA CASSIA;0; ;70.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4376;20070215;41847;VIA FLAMINIA;595; ;200.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4377;20070201;133793;VIA VINCENZO TIERI;105; ;138.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4378;20070215;107767;VIA TRIONFALE;13840; ;20.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4379;20070212;104720;VIA TIBERINA;161; ;91.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4380;20070212;79815;VIA ORREA;37; ;40.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4381;20070222;110321;VIA DI VALLE MURICANA;559; ;54.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4382;20070227;49940;VIA GIANNINO ANTONA TRAVERSI;39; ;100.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4385;20070215;8305;VIA ANTONIO SERRA;67; ;108.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4386;20070306;99707;VIA AL SESTO MIGLIO;56; ;29.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4387;20070308;133793;VIA VINCENZO TIERI;129; ;76.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4388;20070313;56843;VIA DELLA GIUSTINIANA;199; ;61.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4389;20070315;45584;VIA FRANCESCO SAVERIO NITTI;1;B;54.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4390;20070315;112167;VIA VIBIO MARIANO;9;A;20.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4391;20070320;24167;VIA CASSIA;1841; ;20.65;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4392;20070328;34892;VIA DEI DUE PONTI;198; ;31.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4393;20070329;34892;VIA DEI DUE PONTI;222; ;41.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
4394;20070227;56843;VIA DELLA GIUSTINIANA;152;A;70.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
4395;20070301;112167;VIA VIBIO MARIANO;3; ;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6491;20140213;112695;VIA DI VIGNA STELLUTI;188; ;23.85;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6492;20030324;15037;VIA BEVAGNA;35; ;181.32;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6493;20140918;56331;VIA GIUSEPPE REINA;23; ;202.08;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
6494;20061218;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ; 
6495;20140916;57893;VIA DI GROTTAROSSA;140; ;30.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
6496;20140912;41012;PIAZZA FILIPPO CARLI;14; ;120.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ;NON ALIMENTARE
6497;20140813;93152;VIA RIANO;36; ;38.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
6498;20140917;24167;VIA CASSIA;1663; ;46.9;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6499;20140212;91338;VIA DI QUARTO PEPERINO;10; ;86.5;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6500;20070222;24167;VIA CASSIA;999;C;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6501;20140908;79662;VIA ORIOLO ROMANO;240; ;982.51;3;PUBBLICI ESERCIZI;23;SOMM. MENSE E SPACCI (LR 21/2006 ART. 6 c.1 l.g);0;; ; 
6502;20040304;0;;0;;35.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6503;20140313;76991;VIA NEMEA;39; ;33.65;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;10;ALTRI ESERCIZI SPECIALIZZATI ALIMENTARI (DROGHERIE, SALUMERIE, PIZZICHERIE, CAFFE, ALTRO;ALIMENTARE; 
6504;20140224;134354;VIA GIUSEPPE BELARDINELLI;12; ;0.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);19;DISTR. E GEST, APPARECCHI AUTOMATICI SENZA DEPO;0;;;
6505;20140919;107767;VIA TRIONFALE;13840; ;23.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;17;ARTICOLI DI ABBIGLIAMENTO E ACCESSORI, PELLICCERIE; ;NON ALIMENTARE
6506;20140919;112167;VIA VIBIO MARIANO;49; ;38.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6507;20140925;68301;VIA MARCO BESSO;18; ;21.5;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;16;PRODOTTI TESSILI E BIANCHERIA; ;NON ALIMENTARE
6508;20140922;57893;VIA DI GROTTAROSSA;173;B;53.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6541;20141010;42938;PIAZZALE DEL FORO ITALICO;0; ;348.98;3;PUBBLICI ESERCIZI;22;SOMM. ATTIVITA' DI SVAGO(LR 21/2006 ART.6 c.1 l.a);0;;ALIMENTARE;NON ALIMENTARE
6542;20141010;42938;PIAZZALE DEL FORO ITALICO;0; ;271.0;3;PUBBLICI ESERCIZI;22;SOMM. ATTIVITA' DI SVAGO(LR 21/2006 ART.6 c.1 l.a);0;;ALIMENTARE;NON ALIMENTARE
6543;20141010;42938;PIAZZALE DEL FORO ITALICO;0; ;308.36;3;PUBBLICI ESERCIZI;22;SOMM. ATTIVITA' DI SVAGO(LR 21/2006 ART.6 c.1 l.a);0;;ALIMENTARE;NON ALIMENTARE
6544;20141010;42938;PIAZZALE DEL FORO ITALICO;0; ;279.5;3;PUBBLICI ESERCIZI;22;SOMM. ATTIVITA' DI SVAGO(LR 21/2006 ART.6 c.1 l.a);0;;ALIMENTARE;NON ALIMENTARE
