NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
3610;19780509;69823;VIA MARIO ROMAGNOLI;13; ;238.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3611;20011206;20617;VIA CARDINALE GARAMPI;167; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3612;20080221;20617;VIA CARDINALE GARAMPI;167; ;72.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;93;PREPARAZIONE PRODOTTI PRONTI A CUOCERE; ; 
3614;20080319;71042;VIA MATTIA BATTISTINI;75; ;111.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3615;19830718;23650;VIA DI CASAL DEL MARMO;67;A;16.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
3616;20080701;153384;VIA GABRIELLE COLETTE;6; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;0;; ; 
3617;20080617;40491;VIA FERRANTE RUIZ;3; ;20.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
3621;19910624;44363;VIA FRANCESCO CHERUBINI;2;A;160.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3622;19910627;44363;VIA FRANCESCO CHERUBINI;2;A;160.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
3623;20000307;44363;VIA FRANCESCO CHERUBINI;2;A;0.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);66;VIDEOGIOCHI;0;;;
3624;19980318;42053;VIA FLORIDIANA;4; ;23.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3625;20030408;12834;VIA DELLA BALDUINA;33;A;50.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;137;STIRERIA; ; 
3628;20080318;106557;VIA DI TORREVECCHIA;425; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3629;20080529;86332;PIAZZA PIETRO THOUAR;9; ;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3630;20080722;96883;VIA SANGEMINI;91; ;80.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3631;20080731;54845;VIA GIUSEPPE BENEDETTO DUSMET;19; ;42.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;11;SARTORIA; ; 
3632;19970506;21533;VIA CARLO FRANCESCO BELLINGERI;4;E;36.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3633;20080819;102487;VIA STEFANO BORGIA;137; ;85.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
3634;19710826;85654;VIA PIETRO GASPARRI;44; ;37.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3635;20080821;106557;VIA DI TORREVECCHIA;9; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3636;20080909;10836;VIA ASCREA;1; ;187.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3638;19930531;45012;VIA FRANCESCO MARCONI;4;A;32.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3639;20080912;23650;VIA DI CASAL DEL MARMO;139; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3640;19970324;12825;PIAZZA DELLA BALDUINA;8; ;41.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
