SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
V.MARINO FASAN,58;Municipio X;Municipio X; Ist. Comp. Media RENATO GUTTUSO V. MARINO FASAN, 58
V. DRAGONE, 443;Municipio X;Municipio X;IST. COMPR. SC. MED. L. PETROSELLI MEDIA TRAIANO V. DRAGONE, 443
V. EURIPIDE, 15;Municipio X;Municipio X;AXA ELEM. MAT. SUCC. VIA t. SIGNORINI V. EURIPIDE, 15
V. FUNI A., 81;Municipio X;Municipio X;IST. COMPR. SC. ELEM.V. ACHILLE FUNI, 81
L. HERZL THEODOR, 51;Municipio X;Municipio X; MEDIA a. MAGNO SUCC. VIA STESICORO. 115 LG. THEODOR HERZL, 51
V. MASCARDI NICOLA, 11;Municipio X;Municipio X; IST. COMPR. SC. MED. S. FRANCESCO SUCC. L. RADICE V. MASCARDI NICOLA, 11
V. SIGNORINI TELEMACO, 78;Municipio X;Municipio X; DELLA FRANCESCA P. ELEM.V. SIGNORINI TELEMACO, 78
V. STESICORO, 115;Municipio X;Municipio X;IST. COMPR. SC. MED. PLATONE VIA STESICORO, 115
Via Pietro Blaserna 47;Municipio XIV;Municipio XIV;28ø circolo g. pascoli elementare v. cuoco
Via Trionfale 7333;Municipio XIV;Municipio XIV;SCUOLA ELEM. VIA TRIONFALE N. SAURO SEDE CENTRALE VIA TRIONFALE 7333
Via Federico Borromeo 53;Municipio I;Municipio I;137ø circolo xxv aprile elementare u. cerboni
V. APPIANO, 15;Municipio XIV;Municipio XIV;IST.COMPR.SC.ELEM.CNOBILI VIA APPIANO, 15
V. ASCREA, 24;Municipio XIV;Municipio XIV;ELEM. SANT'ANDREA 298 C.LO V. ASCREA, 24
V. BERTOLOTTI ANTONIO, 37;Municipio XIV;Municipio XIV;BESSO L.L. SUCC.ELEM.V. ANTONIO BERTOLOTTI, 37
V. CASAL DEL MARMO, 212;Municipio XIV;Municipio XIV;ELEM. 298. C.LO ELSA MORANTE V. CASAL DEL MARMO, 212
V. G. BITOSSI, 5;Municipio XIV;Municipio XIV;IST. COMPR.SC.ELEM. C. NOBILI V. G. BITOSSI, 5
V. MAESTRE PIE FILIPPINI, 5;Municipio XIV;Municipio XIV;
V. PASQUALE II, 237;Municipio XIV;Municipio XIV;EINSTEIN A.IST.TECN.INDUSTR.V. PASQUALE II, 237
V. PESTALOZZI ENRICO, 5;Municipio XIV;Municipio XIV;STEFANELLI MEDIA V. PESTALOZZI ENRICO, 5
V. PODERE TRIESTE, 20;Municipio XIV;Municipio XIV;
V. TORREVECCHIA, 793;Municipio XIV;Municipio XIV; IST. COMPR. PIO LA TORRE SCU. EL. C. PAVESE V. DI TORREVECCHIA, 793
V. VAL FAVARA, 31;Municipio XIV;Municipio XIV;DON MOROSINI MEDIA V. VAL FAVARA, 31
V. VERGA ANDREA, 2;Municipio XIV;Municipio XIV;BELLINGERI SCU. ELEM. SUCC. LAMBRUSCHINI V. VERGA ANDREA, 2
V. BAGNERA GIUSEPPE, 64;Municipio XI;Municipio XI;BAGNERA VIA MEDIA V. BAGNERA GIUSEPPE, 64
V. CASETTA MATTEI, 279;Municipio XI;Municipio XI; IST. COMPR. SC. MED. F.LLI CERVI V. CASETTA MATTEI, 279
V. CUTIGLIANO, 82;Municipio XI;Municipio XI;GRAZIOSI G. 160 ELEM. SUCC. V. CUTIGLIANO V. GREVE, 10
V. GHERARDI SILVESTRO, 85;Municipio XI;Municipio XI;SC. MED. EINSTEIN SUCC.LE VIA BAGHERIA V. GHERARDI SILVESTRO, 85
V. GHERARDI SILVESTRO, 87;Municipio XI;Municipio XI;KEPLERO LIC.SCIENT.V. GHERARDI SILVESTRO, 87
V. GREVE, 105;Municipio XI;Municipio XI;GRAZIOSI G. 160 ELEM. SUCC. V. CUTIGLIANO V. GREVE, 105
V. MAGLIANA, 296;Municipio XI;Municipio XI;QUARTARARO R. MEDIA V. MAGLIANA, 296
V. MAZZACURATI MARINO, 90;Municipio XI;Municipio XI;I. C. FRATELLI CERVI SUCC
V. MONTE DELLE CAPRE, 37;Municipio XI;Municipio XI;SC. ELEM. SUCC. C. COLLODI 3øV. MONTE DELLE CAPRE, 37
V. PALADINI ETTORE, 12;Municipio XI;Municipio XI;" IST. COMPR. SC. MEDIA VIA "" E. PALADINI"" V. PALADINI ETTORE, 12"
V. PAPARESCHI, 22/A;Municipio XI;Municipio XI;
V. PAPARESCHI, 30/A;Municipio XI;Municipio XI; ANTONIETTI C. IST.PROF.LE V. PAPARESCHI, 30/A
V. PIEVE FOSCIANA, 6;Municipio XI;Municipio XI;MEDIA SUCC. QUARTARARO V. PIEVE FOSCIANA, 6
V. PORTUENSE, 745;Municipio XI;Municipio XI;CORVIALE SCU. ELEM. SUCC. O. DAMASIANO V. PORTUENSE, 745
V. PORTUENSE, 1491;Municipio XI;Municipio XI;"Istituto Comprensivo ""Fratelli Cervi"""
V. VIGNA PIA, 120;Municipio XI;Municipio XI; VACCARI G. ELEM. SUCC. V. L. S. TIBURZI V. VIGNA PIA, 120
Piazza Carlo Forlanini 8;Municipio XII;Municipio XII;139ø CIRCOLO L. DI STEFANO ELEMENTARE C. FORLANINI PIAZZA CARLO FORLANINI 8
V.RIZZO LUIGI ;Municipio XII;Municipio XII;IST. COMPR. SC. MED. ARIOSTO V. RIZZO LUIGI, 1
V. DELLA GIOVANNA ILDEB., 125;Municipio XII;Municipio XII;ST. COMPR. SC. MED. FLEMING SCC. V. G. VANNI V. DELLA GIOVANNA ILDEB., 125
V.FONTEIANA, 11;Municipio XII;Municipio XII;VASCELLO G. IST.TECN. SUCC. VILLA PAMPHILI V. FONTEIANA, 111
V. BRAVETTA, 383;Municipio XII;Municipio XII;CECCHERELLI A.IST.TECN.COM.V. BRAVETTA, 383
V. BRAVETTA, 545;Municipio XII;Municipio XII;MONTALE E. LICEO GINNASIO V. BRAVETTA, 545
 V. GIUSEPPE D'AVARNA 11;Municipio XII;Municipio XII;SCUOLA MEDIA GIORGIO MORANDI VIA GIUSEPPE D'AVARNA 11
V. FABIOLA, 15;Municipio XII;Municipio XII;MEDIA FABRIZIO DE ANDRE' V. FABIOLA, 15
L. GIROLAMI VICTOR HUGO, 12;Municipio XII;Municipio XII; ELEM. GIROLAMI V. H. L. GIROLAMI VICTOR HUGO, 12
V. MONTESANO GIUSEPPE, 6;Municipio XII;Municipio XII;IST. COMPR. VIA VANNI SC. EL. MARIELE VENTRE V. MONTESANO GIUSEPPE, 6
V. PISANA, 367;Municipio XII;Municipio XII; LOI EMANUELA ELEM. SUCC. BUON PASTORE V. PISANA, 357
V. DE CALVI, 40;Municipio XII;Municipio XII;139ø CIRC. ELEMENTARE DI STEFANO VIA A.CRIVELLI 24/VIA DE CALVI 40
V. PISANA, 168;Municipio XII;Municipio XII;"SCU. ELEM. "" I PIZZETTI"" SUCC A. CELLI V. PISANA, 168"
V. VALAGUSSA FRANCESCO, 28;Municipio XII;Municipio XII;RIO DE JANEIRO ELEM.V. VALAGUSSA FRANCESCO, 28
Via di S. Maria alle Fornaci 3;Municipio XIII;Municipio XIII; ISTITUTO COMPRENSIVO BORGONGINI DUCA ELEMENTARE 2 OTTOBRE 1870 VIA DI S. MARIA ALLE FORNACI 
V. BONDI ENRICO, 83;Municipio XIII;Municipio XIII;EVANGELISTI C. SUCC.LE ELEM.V. BONDI ENRICO, 83
V. CASALOTTI, 259;Municipio XIII;Municipio XIII;A. BAJOCCO ELEM. V.CASALOTTI, 259
V. CASALOTTI, 87;Municipio XIII;Municipio XIII;IST. COMPR. SC. EL. SUCC. BAJOCCO V. CASALOTTI, 87
V. CASALOTTI, 87/B;Municipio XIII;Municipio XIII; IST. COMPR. SC. MED. L. TEMPESTA SUCC. VIA ORMEA V. CASALOTTI, 87/B
V. CORNELIA, 43;Municipio XIII;Municipio XIII;EVANGELISTI C. ELEM. SUCC.V. CORNELIA, 43
V. CORNELIA, 73;Municipio XIII;Municipio XIII; EVANGELISTI ELEM.V. CORNELIA, 73
V. DECIO AZZOLINO, 33;Municipio XIII;Municipio XIII;SCU. ELEM./MAT. P.Z. 74 SUCC. C. PAVESE V. DECIO AZZOLINO, 33
V. MARVASI DIOMEDE, 11;Municipio XIII;Municipio XIII; IST. COMPR. SC. EL.. C. ALVARO SUCC. V. G. DEL VECCHIO V. MARVASI DIOMEDE, 11
V. FORTE BRASCHI, 93/A;Municipio XIII;Municipio XIII; ELEM. FORTE BRASCHI SUCC. CERBONI V. FORTE BRASCHI, 93/A
V. MANETTI GIANNOZZO, 6;Municipio XIII;Municipio XIII;ALFIERI V. ELEM V. MANETTI GIANNOZZO, 6
V. DEL VECCHIO,24;Municipio XIII;Municipio XIII;IST. COMPR. SC. MED. A. ROSMINI V. DEL VECCHIO GIORGIO, 24
V. ORBASSANO, 69;Municipio XIII;Municipio XIII;DON MILANI L. ELEM. SUCC. EVANGELISTI V. ORBASSANO, 69
V. ORMEA, 6;Municipio XIII;Municipio XIII; IST. COMPR. SC. MED- C. GOLDONI V. ORMEA, 6
V. STAMPINI  ETTORE, 38;Municipio XIII;Municipio XIII;SENECA L. A. LIC. GINNASIO SUCC. V. ALBERGOTTI V. STAMPINI ETTORE, 38
VIA DELLA RUSTICA;Municipio VI;Municipio VI;SC. ELEM. 117ø C.LO MASSIMO TROISI VIA DELLA RUSTICA
V.MILLEVOI 800;Municipio IX;Municipio IX;"DOMENICO PURIFICATO""VIA MILLEVOI 800"
VIA GIULIANO DA SANGALLO N. 11;Municipio X;Municipio X;"I.C. "" VIA GIULIANO DA SANGALLO""VIA GIULIANO DA SANGALLO N. 11"
VIA PIETRO BLASERNA 47;Municipio XI;Municipio XI; 28ø CIRCOLO G. PASCOLI ELEMENTARE V. CUOCO VIA PIETRO BLASERNA 47
V.BENUCCI, 32;Municipio XI;Municipio XI;I.C. NINO ROTA VIA F.S.BENUCCI, 32
V. RIBOTTI IGNAZIO, 71;Municipio XI;Municipio XI;IST. COMPR. SC. MAT. SUCC. V. VIGNA PIA V. RIBOTTI IGNAZIO, 71
V. DELLE VIGNE, 190;Municipio XI;Municipio XI; ISTITUTO COMPRENSIVO ORATORIO DAMASIANO VIA DELLE VIGNE, 190
V. PISANA, 306;Municipio XII;Municipio XII;VILLORESI MEDIA V. PISANA, 306
VIA FEDERICO BORROMEO 53;Municipio XIV;Municipio XIV;137ø CIRCOLO XXV APRILE ELEMENTARE U. CERBONI VIA FEDERICO BORROMEO 53
V. BREMBIO, 83;Municipio XV;Municipio XV;DUE CASE LABARO ELEM. SUCC.V. BREMBIO, 83
LG. CASTELSEPRIO, 9;Municipio XV;Municipio XV; IST. COMPR. SC. ELEM. DUE CASE LABARO LG. CASTELSEPRIO, 9
VIA CASSIA 1690;Municipio XV;Municipio XV; ISTITUTO COMPRENSIVO VIA CASSIA 1694 ELEMENTARE TOMASETTI VIA CASSIA 1690
VIA ROCCO SANTOLIQUIDO 28;Municipio XV;Municipio XV;ISTITUTO COMPRENSIVO VIA GIUSEPPE SILLA MEDIA LA GIUSTINIANA VIA ROCCO SANTOLIQUIDO 28
V. BACCANO, 38;Municipio XV;Municipio XV; SAXA RUBRA MEDIA V. BACCANO, 38
V. CASSIA, 729;Municipio XV;Municipio XV;IST. STENDHAL VIA CASSIA ,729
Piazzale Flaminio;Municipio II;Municipio II;Ufficio Cinema
Viale Oceano Pacifico;Municipio IX ;Municipio IX ;Eur Roma2 Centro Commerciale
P.zza del Campidoglio;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. (piano I) Sala dei Capitani 
Capitan Bavastro;Municipio VIII;Municipio VIII;Rete Capitan Bavastro
Piazza delle Cinque Lune;Municipio I;Municipio I;Punti di Informazione Turistici
Via di Casole D'Elsa;Municipio IX ;Municipio IX ;Centro Cultura Elsa Morante
Anticamera sindaco(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Chiostrina(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Ex buvette(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Protomoteca 1 (via del campidoglio,1);Municipio I;Municipio I;Uffici del Campidoglio 
Rack della segreteria(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala bandiera(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala carroccio(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala consiliare 1(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala consiliare 2(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto S.P.da Cortona 1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Sala Bar
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto S.P.da Cortona 2
Sala protometeca 2(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala riunioni vice sindaco(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Segreteria del sindaco(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Stanza basile(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Stanza nardi(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Stanza profeta(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Ufficio vice sindaco(via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala Stampa (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Ingresso
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Ufficio Tre Pile
Capo Staff Sindaco (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Sala Stampa Vice Sindaco (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Ass. Bilancio (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Mercato dei fiori - Via Trionfale, 45;Municipio I;Municipio I;Mercato dei fiori
PL. Elsa Morante, 9;Municipio IX;Ass. Cultura ;Centro Culturale Elsa Morante
Via Tempio di Giove, 6;Municipio I;Dip. XIII - Inn.Tec. Assessorato;Assessorato - Direzione
Centrale telefonica (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio 
Segretariato generale (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio  Segretariato Gen. (piano III)
Segretariato generale (via del campidoglio, 1);Municipio I;Municipio I;Uffici del Campidoglio  Segretariato Gen. (piano II)
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 3
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 4
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 5
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 6
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - lapidarium 7
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano terra) Cortile
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Fauno
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Filosofi
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Galleria
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Gladiatore
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Imperatori
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Salone 1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo ( piano I) Salone 2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Annibale
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Arazzi
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Cappella
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Esedra 1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Esedra 2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S. Medievale
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano II) G.Cini
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) G. FastiModerni S. XIII
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) G. FastiModerni S. XIV
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) G. FastiModerni S. XV
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) G. FastiModerni  XXIV-1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) G. FastiModerni  XXIV-2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) Horti Tauriani XX
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) Horti Maecenatiani XXI
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) Horti Maecenatiani XXII
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) Horti Maecenatiani XXIII
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) Ingresso S.Orazi e Curiazi
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S.Orazi e Curiazi
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano I) S.Orazi e Curiazi 
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Cortile interno
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Pittori Ferraresi
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Petronilla 1 
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Petronilla 2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Sala
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Sala Scale Pinacoteca
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Pittori Veneti
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium Indoor1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium Indoor2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium outdoor1
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium outdoor2
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium outdoor3
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium outdoor4
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Sen. ( piano -1) Tabularium outdoor5
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo dei Cons. ( piano III) Tetto Giardino
 Via Val D'Ala;Municipio III;Municipio III;CENTRO ANZIANI VALLI CONCA D'ORO
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo. ( piano I) G.Venere
P.zza del Campidoglio ;Municipio I;Municipio I;Musei Capitolini - Palazzo Nuovo. ( piano I) S.Colombe
Via Tempio di Giove, 2;Municipio I;Commissario Straordinario di Governo;Ufficio Commissario 
Via Tempio di Giove, 21;Municipio I; Uffici Capitolini; Avvocatura Capitolina 
Via Tempio di Giove, 21;Municipio I; Uffici Capitolini; Ragioneria Generale
Via Largo Ascianghi n.4;Municipio I; ex Gabinetto del Sindaco ( piano I) Municipio (piano terra);Centro Sportivo Comunale 
Piazza di Siena;Municipio I;Istituzione  Biblioteche;Biblioteche e\o CONI\SC
