SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
Via Cassia, 472;Municipio XIV;Municipio XIV;Municipio exXX
Via Flaminia 872;Municipio XV;Municipio XV;Municipio exXX
Via Fabiola, 14;Municipio XII;Municipio XII;Presidenza - Direzione
Via di Donna Olimpia, 43 ;Municipio XII;Municipio XII;municipio XVI  UOT
Via P. Falconieri, 38;Municipio XII;Municipio XII;municipio XVI
Via Frescobaldi 20;Municipio I;Municipio I;Centro Anziani Nuovi Orizzonti
Via Giulia 25;Municipio I;Municipio I;Ist.Comp. e Scuola Media Virgilio
Via CAMOZZI GABRIELE, 8;Municipio I;Municipio I;Ist.Comp. Scuola Media Dante Alighieri
Via Galvani 8;Municipio I;Municipio I;Ist.Sup Prof. De Amicis
Via Galvani 6;Municipio I;Municipio I;Ist.Sup Prof. De Amicis
Via Arco del Monte 99;Municipio I;Municipio I;Ist.Sup Prof. Vittoria Colonna
Piazza Giuseppe Mazzini 41;Municipio I;Municipio I;Ist.Sup.Magistrale G.Caetani
Via Vittorio Bachelet 3;Municipio I;Municipio I;Ist.Sup.Statale Niccolo' Macchiavelli
Piazza del Risorgimento 46/b;Municipio I;Municipio I;Liceo Artistico Statale A. Caravillani
Via VISCONTI ENNIO QUIRINO 13;Municipio I;Municipio I;Liceo Classico Dante Alighieri
Piazza Collegio Romano 4;Municipio I;Municipio I;Liceo Classico Dante Visconti
Via CAMOZZI GABRIELE, 4;Municipio I;Municipio I;Liceo Scientifico Talete
Via MORDINI ANTONIO, 19;Municipio I;Municipio I;Scuola Media G.G.Belli
Via COL DI LANA, 5;Municipio I;Municipio I;Scuola Media G.G.Belli Succ.
Via Puglie 6;Municipio I;Municipio I;Scuola Media M.Buonarroti
Via Olimpionici 19;Municipio II;Municipio II;Centro Anziani Villaggi Olimpico
Via Reggio Calabria 48;Municipio II;Municipio II;Ist.Comp.Elementare e Materna Falcone Borsellino
Via Tiburtina Antica 25;Municipio II;Municipio II;Ist.Comp.G. Borzi
Piazza Giuseppe Mazzini 41;Municipio II;Municipio II;Liceo Artistico Statale Succursale Via Ripetta
Piazza del Risorgimento 46/b;Municipio II;Municipio II;Scuola Media Stat. Luigi Settembrini
