INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
A CASA DI MAMMA';Categoria 3;VIA ROCCAPRIORA, 21;Mun. VII;Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;2;5;0;0
APT LIBIA;Categoria 1;VIA ENDERTA', 31;Mun. II;Casa Vacanze NON impr (Appartamento);;1;0;0;0;0;1;2;0;0
CIAMBELLA HOLIDAYS;Categoria 3;VIA DELL'ARCO DELLA CIAMBELLA, 9;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
DOMUS MONTI;Categoria 1;VIA CAVOUR, 108;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
SPAGNOLI RED;Categoria 2;VIA DEGLI SPAGNOLI, 53;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
COLLEVATICANOROMA;Categoria 3;VIA NICOLO' V, 10;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;1;1;0;0;0;3;6;0;0
MAISONETTE;Categoria 3;VIA LORENZO ALLIEVI, 18;Mun. XI;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA MEUCCI;Categoria 2;PIAZZA ANTONIO MEUCCI, 23;Mun. XI;Casa Vacanze NON impr (Appartamento);0;0;0;1;0;0;1;4;0;0
DOMUS ANNAMARIA;Categoria 3;VIA PRINCIPE AMEDEO, 175;Mun. I;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
RELAIS CAMPO DE' FIORI;Categoria 4;LARGO DEI LIBRARI, 82;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
APARTMENT LA COUPOLE;Categoria 4;VIA GREGORIO VII, 58;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MADDALENA HOLIDAYS;Categoria 3;PIAZZA DELLA MADDALENA, 2;Mun. I;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
OPERA HOUSE BOHEME;Categoria 3;VIA FIRENZE, 43;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
BLACK AND WHITE APARTMENT;Categoria 4;VIA RATTAZZI, 63;Mun. I;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
LE BIMBE;Categoria 2;VIA VALLE CORTENO, 7;Mun. III;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
BOTTICELLI;Categoria 2;VIA DEL GAMBERO, 30;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
XENIA;Categoria 3;VIA S. TOMMASO D'AQUINO, 15;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA ANNA A ROMA;Categoria 3;VIA SEBASTIANO VENIERO, 72;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
TIBURTINO;Categoria 2;PIAZZALE TIBURTINO, 19;Mun. II;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
CASA VACANZE COLOSSEO DA FERNANDO;Categoria 4;PIAZZA DEL COLOSSEO, 9;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
LA CUPOLA HOLIDAYS;Categoria 4;VIA S. TELESFORO, 13;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
ANTONIO CESARI 8;Categoria 2;VIA ANTONIO CESARI, 8;Mun. XII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
AGRIPPINA;Categoria 3;VICOLO ORBITELLI, 9;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
MESSALINA;Categoria 3;VICOLO DEI FALEGNAMI, 40;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
CASA MARILYN;Unica;VIA DELLA STAZIONE DI S. PIETRO, 53;Mun. XIII;Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;3;4;0;0
SAKURA;Categoria 2;VIA CLELIA, 46;Mun. VII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
TERRAZZA BARBERINI APPARTAMENTO;Categoria 4;VIA DELLE QUATTRO FONTANE, 173;Mun. I;Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;2;2;0;0
ROME GEMELLI HOME;Categoria 2;VIA PANDOLFO COLLENUCCIO, 11;Mun. XIV;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
ATTICO VITTORIA;Categoria 4;VIA VITTORIA, 17;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;2;0;0;0;3;7;0;0
ROMA FACILE;Categoria 3;VIA BRADANO, 8;Mun. II;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MATISSE HOUSE;Categoria 4;VICOLO DELL'AQUILA, 16;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
PICCOLA LONDRA;Categoria 4;VIA FLAMINIA, 287;Mun. II;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
ARA PACIS CASA VACANZE;Categoria 2;PIAZZA DEL PORTO DI RIPETTA, 1;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA ALBA;Categoria 2;VIA DELLA CERQUETTA,;Mun. XV;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
RESIDENZA DEL GALLO;Categoria 3;VIA DI MONTE DEL GALLO, 26;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
APARTMENT LUXURY PANTHEON;Categoria 4;VIA DI TORRE ARGENTINA, 13;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
DOMUS RANIERO;Categoria 3;LARGO LUIGI MONTI, 1;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
THE RED APARTMENT;Categoria 2;VIA CARLO EDERLE, 19;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA GIULIANA;Categoria 3;VIA DELLA GIULIANA, 44;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
CONFORT HOUSE PLUS - sospensione temporanea;Categoria 3;VIA MAR ROSSO, 219;Mun. X;Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;2;4;0;0
AL CASTELLO DELL'ANGELO;Categoria 2;VIA GIOVANNI PIERLUIGI DA PALESTRINA, 48;Mun. I;Casa Vacanze NON impr (Appartamento);1;3;0;0;0;0;4;7;0;0
CASA DUNA;Categoria 4;VIA DEI GIUBBONARI, 98;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
PIER;Categoria 4;VIA EMANUELE FILIBERTO, 191;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;3;4;0;0
LETTA'S HOUSE;Categoria 2;VIA DEI CAPPUCCINI, 25;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
CASA QUARANTA;Categoria 3;VIA DELLA PISANA, 40;Mun. XII;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
CORSO TERRACE;Categoria 3;VIA DEL CORSO, 18;Mun. I;Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;2;2;0;0
TERMINI PLATINUM;Categoria 1;VIA CARLO EMANUELE I, 38;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;2;4;0;0
L'ANTICA PANETTERIA;Categoria 2;VIA DELLA PANETTERIA, 45;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
RELAXING TRASTEVERE;Categoria 3;VIA DI PONZIANO, 15;Mun. XII;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
BLOOM;Categoria 4;VIA CASTRUCCIO CASTRACANE, 6;Mun. V;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA GIO';Categoria 4;VIA COLA DI RIENZO, 52;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
CASA E APPARTAMENTO PER VACANZE NAVONA OPEN SPACE;Categoria 2;VIA DI PANICO, 20;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;1;2
DOMUS CIANCALEONI;Categoria 1;VIA DEI CIANCALEONI, 45;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
PG. RHOME;Categoria 1;VIA DELLA CROCE, 81;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MAXXI;Categoria 1;VIALE DEL VIGNOLA, 127;Mun. II;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
HOLIDAYS GOVERNO VECCHIO;Categoria 3;VIA DEL GOVERNO VECCHIO, 14;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
CASA DEL PROFESSORE;Categoria 4;VIA FRANCESCO CARACCIOLO, 14;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
L'EDERA AL COLOSSEO;Categoria 4;VIA DEL CARDELLO, 2;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
SPARTACUS;Categoria 4;VIA MARCO AURELIO, 49;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA PERLA;Categoria 3;VIA AMBROGIO TRAVERSARI, 29;Mun. XII;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
AR TESTACCIO;Categoria 4;PIAZZA DI S. MARIA LIBERATRICE, 45;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
VIA IMPERIA 54;Categoria 4;VIA IMPERIA, 54;Mun. II;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CAMPITELLI LUXURY APARTMENT;Categoria 4;PIAZZA DI CAMPITELLI, 2;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MONTEVECCHIO SQUARE;Categoria 4;PIAZZA DI MONTEVECCHIO, 6;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
GERMANICO MAXI;Categoria 3;VIA GERMANICO, 99;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;8;0;0
SANPETER BORGO;Categoria 2;PIAZZA AMERICO CAPPONI, 9;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;2;5;0;0
RISORGIMENTO HOLIDAY HOUSE;Categoria 4;VIALE DEI BASTIONI DI MICHELANGELO, 5;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
CASE VACANZE BUSI;Categoria 2;VIA MACHIAVELLI, 17;Mun. I;Casa Vacanze NON impr (Appartamento);;0;0;0;0;0;0;0;2;4
CAROLINA HOLIDAYS;Categoria 2;VIA DEI SALUMI, 50;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;0;1;0;0;1;4;0;0
LA TERRAZZA DI GERMANA;Categoria 2;VIALE PLATONE, 25;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
ANASTASIO;Categoria 1;VIA ANASTASIO II, 416;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
COPPELLE APARTMENT 3;Categoria 3;PIAZZA DELLE COPPELLE, 48;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;2;0;0
RESIDENZA COPPELLE 1;Categoria 3;PIAZZA DELLE COPPELLE, 48;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
BEAUTIFUL CARROZZE APARTMENT;Categoria 3;VIA DELLE CARROZZE, 30;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;4;0;0
CASA MARGHERITA;Categoria 4;VIA MARGHERA, 35;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
HOUSE NUMBER SIXTY SIX;Categoria 3;VIA DELLA FONTANELLA DI BORGHESE, 66;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
POPOLO TERRACE;Categoria 2;VIA CESARE BECCARIA, 16;Mun. II;Casa Vacanze NON impr (Appartamento);3;0;0;0;0;0;3;3;0;0
CASA DELL'ANGELO;Categoria 3;VIA PAOLA, 38;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
TRASTEVERE PIAZZETTA;Categoria 3;VIA DI S. FRANCESCO A RIPA, 141;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
FIONA;Categoria 4;VIA DEI VOLSCI, 131;Mun. II;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
BIANCO NOTTE;Categoria 1;VIA CAMESENA, 8;Mun. IV;Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;2;4
GRAND ORSETTO;Categoria 2;VIA DELL'ORSO, 28;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;1;1;0;0;3;9;0;0
CRESCENZIO APARTMENT;Categoria 4;VIA CRESCENZIO, 62;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
APPARTAMENTO PRATI;Categoria 2;VIA FAMAGOSTA, 63;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
ABITARE TRASTEVERE;Categoria 4;VIA DI PONTE SISTO, 69;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA LEOPARDO;Categoria 2;VICOLO DEL LEOPARDO, 2;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;2;0;0
LA TERRAZZA SUL VATICANO;Categoria 3;VIALE VATICANO, 67;Mun. XIII;Casa Vacanze NON impr (Appartamento);3;1;0;0;0;0;4;5;0;0
CASA CAMPANI SAN LORENZO;Categoria 1;VIA DEI CAMPANI, 32;Mun. II;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA DEGLI ZINGARI;Categoria 4;VIA DEGLI ZINGARI, 60;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
HOME MINERVA;Categoria 4;VIA GIOVANNI GIOLITTI, 401;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MAMELI IN TRASTEVERE;Categoria 2;VIA GOFFREDO MAMELI, 17;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
AMORE DI ROMA;Categoria 2;VIA VACUNA, 90;Mun. IV;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
BRUNETTI BEAUTIFUL APARTMENT;Categoria 4;VIA ANGELO BRUNETTI, 47;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;1;0;0;0;3;6;0;0
BIONDO HOUSE;Categoria 3;VIA ANGELO POLIZIANO, 27;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
RESIDENZA ARGILLA;Categoria 4;VIA DELL'ARGILLA, 15;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
AP18 CAVOUR;Categoria 1;VIA LEONINA, 83;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
SUITE QUIRINALE;Categoria 3;VIA VENTI SETTEMBRE, 4;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
DIVINA MISERICORDIA;Categoria 4;VIA ANDREA DORIA, 67;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
MONTEMARTE A;Categoria 3;PIAZZA DEL GESU', 47;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
ATTICO GALLERIA BORGHESE;Categoria 4;VIA PO, 35;Mun. II;Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;3;4;0;0
MUSIC ROOM;Categoria 2;VIA DEL CORSO, 504;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
SILVER FERN;Categoria 2;VIA PRINCIPE EUGENIO, 15;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;1;0;0;0;4;7;0;0
GIOIA HOUSE;Categoria 2;VIA DEI MONTI DI CRETA, 83;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MARZIA;Categoria 3;VIA GABRIELLO CHIABRERA, 39;Mun. VIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
APPARTAMENTO ROMANO;Categoria 2;VIA DELLE QUATTRO FONTANE, 33;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
APPARTAMENTI DEL CAMPO HOLIDAYS;Categoria 2;VIA DEI CAPPELLARI, 35;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
LAURA BACILE;Categoria 2;PIAZZA QUINTO CURZIO, 5;Mun. VII;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
BRANCACCIO HOLIDAYS;Categoria 3;LARGO BRANCACCIO, 63;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
AROMA DI MARE;Categoria 2;VIALE CARDINAL GINNASI, 22;Mun. X;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
HOME ROME;Categoria 4;VIA DI S. FRANCESCO A RIPA, 52;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MIRELLA'S HOME TRASTEVERE;Categoria 2;VIA FILIPPO CHIAPPINI, 16;Mun. XII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
HELEN HOUSE;Categoria 4;VIA MERULANA, 209;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CARACALLA GUEST HOUSE;Categoria 3;VIA GALLIA, 122;Mun. VII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
AMBROSIA VATICAN HOUSE;Categoria 2;VIA GIACOMO BARZELLOTTI, 3;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
TITUS;Categoria 2;VIA DELLA PALOMBELLA, 3;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
PIGNA SUITE;Categoria 3;VIA DELLA PIGNA, 19;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
HAUS MIRO;Categoria 4;VIA ATTO VANNUCCI, 12;Mun. VII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CROCE SMALL BEAUTIFUL;Categoria 4;VIA DELLA CROCE, 78;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
SANTANGELO RELAIS HOLIDAYS;Categoria 2;VIA DEI BANCHI NUOVI, 37;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
THE INN AT THE ROMAN FORUM HOLIDAYS;Categoria 2;VIA DEGLI IBERNESI, 23;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
COLOSSEO E DINTORNI;Categoria 4;VIA DI S. MARTINO AI MONTI, 21;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
SANTA BARBARA;Unica;LARGO DEI LIBRARI, 83;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
OSTIA BEACH;Categoria 2;VIA GIUSEPPE RENATO BELLOT, 44;Mun. X;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
ROME LAND NAVONA;Categoria 2;VIA DELL'ORSO, 28;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
FADA HOUSE;Categoria 2;VIA CALABRIA, 7;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;1;0;0;0;3;6;0;0
BEATRICE;Categoria 3;VIALE GIULIO CESARE, 51;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
APPARTAMENTO MORGANTE;Categoria 2;PIAZZA DE' RENZI, 23;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
AL FIORE;Categoria 4;VIA DI MONTE FIORE, 8;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
APPARTAMENTO LE GRAZIE;Categoria 3;PIAZZA S. MARIA DELLE GRAZIE, 3;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
TREVI FOUNTAIN VIEW;Categoria 4;VIA DEI CROCIFERI, 3;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
RESIDENZA PAOLA;Categoria 2;VIA DELLA SCALA, 72;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
MAGIC DOOR'S APARTMENT IN ROMA;Categoria 3;VIA FILIPPO TURATI, 96;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
DIMORA LUMINOSA;Categoria 2;VIA CRESCENZIO, 43;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
ETTORE ACCOMODATION;Categoria 4;VIA CAVOUR, 150;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
TERRAZZA PIERALICE;Categoria 3;VIA GIACINTO DE VECCHI PIERALICE, 44;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;3;6;0;0
A PLACE APART;Categoria 2;VIA INNOCENZO XI, 44;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
LITTLE NEST IN ROME;Non Classificata;VIA EURIALO, 9;Mun. VII;Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;3;0;0
ROMA 18;Non Classificata;VIA DELLA MADONNA DEL RIPOSO, 20;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;2;2;0;0
HOUSE LIBERTY;Categoria 4;VIA CRESCENZIO, 54;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;3;7;0;0
LA CASA DI EUGENIO;Categoria 3;VIA LATINA, 238;Mun. VII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
CASA TIZIANO 1;Categoria 4;VIA DEI LEUTARI, 28;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;3;4;0;0
ORSETTO;Categoria 2;VIA DELL'ORSO, 28;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;2;0;0;0;3;7;0;0
CASA VACANZE RINA;Categoria 2;VIA STEFANO PORCARI, 11;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
YACHT VENETO;Categoria 4;VIA ZUCCHELLI, 27;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
LA DIMORA DEI MORI;Categoria 1;VIALE OPITA OPPIO, 64;Mun. VII;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
VATICAN ATMOSPHERE;Categoria 3;VIA CANDIA, 66;Mun. I;Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;1;3;0;0
WHEEL;Categoria 4;PIAZZA DEL MONTE DI PIETA', 30;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
RED;Categoria 3;VICOLO DEL BOLOGNA, 90;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
COLOSSEO LATERANI;Categoria 2;PIAZZA DI S. GIOVANNI IN LATERANO, 36;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
LATIN HOUSE;Categoria 2;VIA DEI LATINI, 18;Mun. II;Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;2;4;0;0
CASA FRA';Categoria 4;VIA TOR DE' CONTI, 2;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;2;0;0
CITY VIEW APARTMENT;Categoria 1;VIA PIEMONTE, 101;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
CASA AMENA;Categoria 2;VIA PASQUALE II, 17;Mun. XIV;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
RELAIS GIANICOLO;Categoria 3;VIA DEL SEMINARIO, 85;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
CERNAIA APARTMENT;Categoria 4;VIA CERNAIA, 47;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
MARIA'S HOUSE;Categoria 4;VIA FILIPPO TURATI, 129;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
COLOSSEUM STREET;Categoria 3;VIA DEL COLOSSEO, 23;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
LILLY ROSE HOUSE;Categoria 4;VIA BEZZECCA, 1;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
ACH - ARCHITECTS HOUSE COLOSSEO;Categoria 3;VIA FRANCESCO GIAMBULLARI, 8;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
SIXTYFOUR;Categoria 2;VIA ANTONIO LABRIOLA, 64;Mun. XIV;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
DAB TREVI;Categoria 3;VIA DI S. MARIA IN VIA, 18;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
NAVONA BRIGHT FLAT;Categoria 4;VICOLO DELLE VACCHE, 19;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
FORNACI LUXURY APARTMENT;Categoria 4;VIA DELLE FORNACI, 163;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
CASETTA PICCOLA;Categoria 4;VIA DEI CHIAVARI, 8;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
T.K. PLACE ROME;Categoria 2;VIA DELLE FORNACI, 44;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;2;4;0;0
LOFT CARLOTTA;Categoria 2;VIA DEL GONFALONE, 30;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
LOFT SOFIA;Categoria 2;VIA DEL GONFALONE, 30;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
