INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
BRUNELLESCHI LUXURY HOSTEL  'Hostel o Ostello';Unica;BORGO S. ANGELO, 19;Mun. I;Hostel;1;7;0;0;0;0;8;15;0;0
HOSTEL O OSTELLO  YAB;Unica;VIA PALESTRO, 56;Mun. I;Hostel;1;1;4;1;0;0;7;19;0;0
HOSTEL O OSTELLO YDE;Unica;VIA PALESTRO, 44;Mun. I;Hostel;2;1;1;3;0;1;8;25;0;0
SANT'AMBROGIO CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DI S. ANGELO IN PESCHERIA, 5;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE ROMA VATICAN HOUSE GIULIANA 66;Categoria 1;VIA DELLA GIULIANA, 66;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
ROMA VATICAN MILIZIE APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIALE DELLE MILIZIE, 58;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
"CASA E APPARTAMENTO PER VACANZE ""A ROMA 21""";Categoria 1;VIA GREGORIO XIII, 21;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
M&M HOUSE CASA E APPARTAMENTO PER VACANZE;Categoria 1;LARGO S. VINCENZO DE' PAOLI, 8;Mun. XII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE MIANI HOUSE;Categoria 2;VIA GIOVANNI MIANI, 6;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
Anna & Franco;Categoria 2;VIA BRA, 5;Mun. XIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
COZY SAN MARTINO;Categoria 2;PIAZZA DI S. MARTINO AI MONTI, 50;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE FORMA URBIS;Categoria 2;VIA GABRIELLO CHIABRERA, 29;Mun. VIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
ROSA CASA ROMANA;Categoria 2;VIA TARANTO, 34;Mun. VII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE POP HOUSE;Categoria 1;VIA CASILINA, 387;Mun. V;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
ISOLE E MARI;Categoria 2;VIALE JONIO, 280;Mun. III;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
LORY'S HOME;Categoria 2;VIA PROSPERO FARINACCI, 52;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
"CASA E APPARTAMENTO PER VACANZE ""APARTMENT LATERANO 85""";Categoria 2;VIA DI S. GIOVANNI IN LATERANO, 85;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
ST. PETER'S REFUGE 2 CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA DELLE FORNACI, 70;Mun. XIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
DOMUS REGIA;Categoria 2;VIA ANTONIO SALANDRA, 6;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
NAZIONALE 230;Categoria 2;VIA NAZIONALE, 230;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
"CASA E APPARTAMENTO PER VACANZE ""MVM APARTMENT""";Categoria 2;VIA S. EVARISTO, 130;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
BONBONFLA PIAZZA DI PIETRA 2;Categoria 2;VIA DI PIETRA, 84;Mun. I;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
