Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Proxilar com.;Permeplus;Flubex;Rothryn 200;Porter;Tator;Garban;Cipex 10E;Vectobac DT;Aquakhotrine;Diflorex;Cymina Plus;Sandokan 7335;Microsin;Roltab;Amplat;Device TB2;Permex 22E;Aqualarv;Nexa;Diflox;No-Larv;Cyperbase;Cipertrin T;Dudin SC 15;Aedex;Skeetal;Adicip;Zamho;Pertrin S;Rotryn 50;Larvistop;Altogran;K-othrine;Bifemite;Solfac;Deltakill flow;Wacip 1000;Decapy flow;Sumilarv;Exit 100;Fendona;Permesol;Diflox cpr.;Diflox flow.;Deltacid;Toolex;Permebase;Garban;Cipekill;Nurelle;Bio-Amplat;Aquacyp;Vectomax;Boxtar;Delta Super;Fenthrin;Mida tarvis;Deadyna;Green Larv;Veloxidin;Baycidal WP 25;Aquapy;Permebase
Via C. Fieschi 21;;RM;Roma;12;Italia;larvicida;1;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via del Gesó 72;;RM;Roma;1;Italia;larvicida;1;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corso Trieste 43;;RM;Roma;2;Italia;larvicida;1;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Vitellia 55;00152;RM;Roma;12;Italia;larvicida e adulticida;4;4;15/05/2015;31/08/2015;15/05/2015;31/08/2015;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza San Giovanni di Dio 24;00152;RM;Roma;12;Italia;larvicida e adulticida;4;4;15/05/2015;31/08/2015;15/05/2015;31/08/2015;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ugo de Carolis 22;00136;RM;Roma;14;Italia;larvicida e adulticida;4;4;15/05/2015;31/08/2015;15/05/2015;31/08/2015;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tor de Schiavi 320;00171;RM;Roma;5;Italia;larvicida;6;0;15/05/2015;15/10/2015;-;-;mensile;-;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Bartolomeo PodestÖ 12;00135;RM;Roma;14;Italia;larvicida e adulticida;4;4;giu-15;set-15;giu-15;set-15;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Oceano Atlantico 18;00144;RM;Roma;9;Italia;larvicida e adulticida;8;5;01/04/2015;30/09/2015;01/04/2015;30/09/2015;3 settimane;40 giorni;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Amedeo Sommovigo;00155;RM;Roma;4;Italia;adulticida;0;9;-;-;25/03/2015;04/12/2015;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Umberto Calosso;00155;RM;Roma;4;Italia;adulticida;0;9;-;-;25/03/2015;04/12/2015;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Paolo Buzzi 6;00143;RM;Roma;9;Italia;larvicida;6;0;07/07/2015;07/09/2015;-;-;3 settimane;-;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F. Sapori;00143;RM;Roma;9;Italia;larvicida;6;0;07/07/2015;07/09/2015;-;-;3 settimane;-;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ottone Fattiboni 108;00126;RM;Roma;10;Italia;larvicida e adulticida;5;5;01/06/2015;01/10/2015;01/06/2015;01/10/2015;3 settimane;3 settimane;;;x;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ugo Bertossi 25-27;00159;RM;Roma;4;Italia;larvicida e adulticida;4;4;11/07/2015;30/10/2015;11/07/2015;30/10/2015;20-25 giorni;20-25 giorni;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ludovico Bragaglia 92;00123;RM;Roma;3;Italia;larvicida e adulticida;4;4;11/07/2015;30/10/2015;11/07/2015;30/10/2015;20-25 giorni;20-25 giorni;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Romagnoli 2219;00128;RM;Roma;10;Italia;larvicida e adulticida;4;4;11/07/2015;30/10/2015;11/07/2015;30/10/2015;20-25 giorni;20-25 giorni;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via degli Orseolo 33;00148;RM;Roma;11;Italia;larvicida e adulticida;2;4;12/05/2015;21/09/2015;12/05/2015;21/09/2015;20 giorni;mensile;;;x;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Santissimi Apostoli 66;00187;RM;Roma;1;Italia;larvicida;6;0;30/06/2015;30/11/2015;-;-;mensile;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Borsi 17;00197;RM;Roma;20;Italia;larvicida e adulticida;2;2;08/08/2015;04/09/2015;08/08/2015;04/09/2015;mensile;mensile;;;;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Galiani 8;00191;RM;Roma;12;Italia;larvicida e adulticida;4;4;23/06/2015;17/09/2015;23/06/2015;17/09/2015;mensile;mensile;;;;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Panama 52;00198;RM;Roma;2;Italia;larvicida e adulticida;3;3;17/07/2015;05/09/2015;17/07/2015;05/09/2015;mensile;mensile;;;;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via R. Pereira 225;00136;RM;Roma;14;Italia;larvicida e adulticida;5;5;28/05/2015;17/09/2015;28/05/2015;17/09/2015;mensile;mensile;;;;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via T. Salvini 15;00197;RM;Roma;2;Italia;larvicida e adulticida;3;3;28/07/2015;05/09/2014;28/07/2015;05/09/2014;mensile;mensile;;;;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G.B. Peltechian 10-18;00173;RM;Roma;7;Italia;larvicida;8;0;15/07/2015;21/12/2015;-;-;3 settimane;-;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nicolï Tartaglia 16;00197;RM;Roma;2;Italia;larvicida e adulticida;3;3;lug-15;set-15;lug-15;set-15;mensile;mensile;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Santa Croce in Gerusalemme 92;00185;RM;Roma;1;Italia;larvicida e adulticida;4;4;25/06/2015;set-15;25/06/2015;set-15;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via dell'Arcadia 43;00147;RM;Roma;8;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Chiodelli 64;00132;RM;Roma;6;Italia;larvicida e adulticida;2;7;11/03/2015;11/04/2015;11/05/2015;11/11/2015;mensile;mensile;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Achille Mauri 8;;RM;Roma;12;Italia;adulticida;0;5;-;-;07/05/2015;07/09/2015;-;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via E. Bondi 163;;RM;Roma;13;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via S.G. Stefaneschi 8;;RM;Roma;1;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F.M. Torrilio 49;;RM;Roma;13;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via S.I. Papa 74;;RM;Roma;14;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Senzaterra 37-41;;RM;Roma;13;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via E. Bondi 162;;RM;Roma;13;Italia;larvicida;4;0;30/03/2015;30/06/2015;-;-;mensile;-;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cassia 964;00189;RM;Roma;15;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Godenzo 65;00189;RM;Roma;15;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Michele de Marco 36-39-51;00169;RM;Roma;6;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tarquinio Collatino 191;00175;RM;Roma;7;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Grottarossa 91;00189;RM;Roma;15;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Ostiense 228;00154;RM;Roma;8;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Palmiro Togliatti 162;00173;RM;Roma;7;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Podere Fiume 65-73;00168;RM;Roma;12;Italia;larvicida;9;0;20/04/2015;15/12/2015;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
