Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Proxilar com.;Permeplus;Flubex;Rothryn 200;Porter;Tator;Garban;Cipex 10E;Vectobac DT;Aquakhotrine;Diflorex;Cymina Plus;Sandokan 7335;Microsin;Roltab;Amplat;Device TB2;Permex 22E;Aqualarv;Nexa;Diflox;No-Larv;Cyperbase;Cipertrin T;Dudin SC 15;Aedex;Skeetal;Adicip;Zamho;Pertrin S;Rotryn 50;Larvistop;Altogran;K-othrine;Bifemite;Solfac;Deltakill flow;Wacip 1000;Decapy flow;Sumilarv;Exit 100;Fendona;Permesol;Diflox cpr.;Diflox flow.;Deltacid;Toolex;Permebase;Garban;Cipekill;Nurelle;Bio-Amplat;Aquacyp;Vectomax;Boxtar;Delta Super;Fenthrin;Mida tarvis;Deadyna;Green Larv;Veloxidin;Baycidal WP 25;Aquapy;Permebase
Via Riongro 7;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Gismon 6;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Piccagli 45-47;00199;RM;Roma;15;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gualterio 96;;RM;Roma;3;Italia;larvicida e adulticida;4;4;15/05/2015;03/09/2015;15/05/2015;03/09/2015;mensile;mensile;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Costabella 12;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 29;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 169;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Giuseppe Mazzini 25;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Giuseppe Mazzini 145;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lungotevere dei Mellini 51;00193;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Durazzo 34;00195;RM;Roma;1;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Monteverde 59;00154;RM;Roma;12;Italia;adulticida;4;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tullio Levi Civita 16;00146;RM;Roma;8;Italia;larvicida e adulticida;4;4;01/07/2015;30/09/2015;01/07/2015;30/09/2015;3 settimane;3 settimane;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sebastiano Ziani 4;00136;RM;Roma;1;Italia;larvicida e adulticida;6;6;14/04/2015;19/09/2015;14/04/2015;19/09/2015;3 settimane;mensile;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Raffaele Conforti 130;00166;RM;Roma;13;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pian due Torri 21;00146;RM;Roma;11;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pian due Torri 59-63;00146;RM;Roma;11;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ivanoe Bonomi 127;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Carlo Muscetta 132-140;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Padana 43;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Marco Valerio Corvo 121;00174;RM;Roma;7;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monteverde 170;00151;RM;Roma;12;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gualtiero Serafino 8;00136;RM;Roma;14;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Lucchina 47;00136;RM;Roma;14;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tor San Giovanni 146;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Cervialto 130-134-142-146;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sorelle Tetrazzini 39;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 18;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 166;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 168;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 170;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cesare Fani 44;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Ottaviano Vimercati 6;00139;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Sangro 19;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via dei Prati Fiscali 184-222;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capo Miseno 6-8;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val di Cogne 12;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Cave Fiscali 13;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Senio 13;00141;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Archimede 179;00197;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ettore Ximenes 3;00197;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Domenico Chielini 10;00197;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Brescia 16;00198;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Savoia 86;00198;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Savoia 88;00198;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tagliamento 24;00198;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via EndertÖ 31;00199;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Eritrea 9;00199;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ostilia 55;00184;RM;Roma;1;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cortina D'Ampezzo 167;00135;RM;Roma;15;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Seneca 47;00136;RM;Roma;14;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Po 7-9;00198;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Pola 31;00198;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Franco Sacchetti 19;00137;RM;Roma;3;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corso Trieste 95;00198;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Adolfo Albertazzi 99;00137;RM;Roma;3;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tino Buazzelli 6;00137;RM;Roma;3;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Casal Bianco 141;00131;RM;Roma;4;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Gorizia 24a;00198;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Gorizia 24b;00198;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazzale Montesquieu 28;00137;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nomentana 257;00137;RM;Roma;2;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Passo del Furlo 61;;RM;Roma;3;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mario Fascetti 90;00136;RM;Roma;12;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Sante Bargellini 4;00157;RM;Roma;4;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nomentana 231-233;00161;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale di Villa Massimo 37;00161;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via XX Settembre 58a;00187;RM;Roma;1;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Anselmo Gappi 46;00149;RM;Roma;11;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Giacomo Porro 22;00197;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salita Castel Giubileo 8;00138;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pieve a Nievale 46-48;00138;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parcheggio Faravelli 28-30;00195;RM;Roma;15;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Teofilo Folugo 49;00137;RM;Roma;3;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sambucuccio D'Alando 19;00162;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Giovanni da Verrazzano 37;00154;RM;Roma;8;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via dei Sabelli 209-211-211a;00185;RM;Roma;2;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Trevis 44 - Via Conti Rossini 13;00147;RM;Roma;8;Italia;larvicida e adulticida;6;6;apr-15;set-15;apr-15;set-15;mensile;mensile;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pica 21-39-55;00139;RM;Roma;3;Italia;larvicida e adulticida;6;6;apr-15;set-15;apr-15;set-15;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Flaminia Vecchia 838;00191;RM;Roma;15;Italia;larvicida e adulticida;6;6;apr-15;set-15;apr-15;set-15;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Regina Margherita 227;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Oreste Tommasini 34;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Campaldino 9-11;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Felice Grossi Gondi 50;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giovanni Marangoni 16;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale della Primavera 35;;RM;Roma;5;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Costaguti 34;;RM;Roma;1;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Ippocrate 96;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Mariano Armellini 16;;RM;Roma;2;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Marino 26;;RM;Roma;1;Italia;adulticida;0;8;apr-15;ott-15;apr-15;ott-15;-;3 settimane;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Accademia del Cimento 41;;RM;Roma;8;Italia;larvicida e adulticida;6;6;mag-15;ott-15;mag-15;ott-15;mensile;mensile;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Furio Camillo 64;00181;RM;Roma;7;Italia;larvicida;4;0;gen-15;dic-15;-;-;trimestrale;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Tor Pignattara 144;00177;RM;Roma;5;Italia;larvicida;4;0;gen-15;dic-15;-;-;trimestrale;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Casale Antonioni 52-54;00133;RM;Roma;7;Italia;larvicida;4;0;gen-15;dic-15;-;-;trimestrale;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 86;00195;RM;Roma;1;Italia;adulticida;0;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Circonvallazione Clodia 88;00195;RM;Roma;1;Italia;adulticida;0;4;-;-;giu-15;ago-15;-;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale dell'Umanesimo 178;;RM;Roma;9;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Andrea Pitti 27;;RM;Roma;8;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Vittorio Pozzo 14-16;;RM;Roma;8;Italia;larvicida e adulticida;5;5;mag-15;set-15;mag-15;set-15;mensile;mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Anselmo Ciappi 22;;RM;Roma;11;Italia;larvicida;2;0;lug-15;ago-15;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
