AC	ALTRE CATEGORIE NON PROFESSION	54		SOCIALCARD	RMB-A3	2018/01/19	2019/01/19	0
AC	ALTRE CATEGORIE NON PROFESSION	55	00100	BIBLIOCARD	RMB-I1	2018/01/15	2019/01/15	0
AC	ALTRE CATEGORIE NON PROFESSION	55	00143	PASSCARD	RMB-N1	2018/01/02	2019/01/02	21
AC	ALTRE CATEGORIE NON PROFESSION	56	00155	PASSCARD	RMB-E1	2018/01/26	2019/01/26	5
AC	ALTRE CATEGORIE NON PROFESSION	56	00159	PASSCARD	RMB-R1	2018/01/09	2019/01/09	6
AC	ALTRE CATEGORIE NON PROFESSION	57	00146	BIBLIOCARD	RMB-Q1	2018/01/20	2019/01/20	0
AC	ALTRE CATEGORIE NON PROFESSION	57	97015	BIBLIOCARD	RMB-A3	2018/01/29	2019/01/29	2
AC	ALTRE CATEGORIE NON PROFESSION	58	00151	PASSCARD	RMB-R1	2018/01/04	2019/01/04	0
AC	ALTRE CATEGORIE NON PROFESSION	59		PASSCARD	RMB-I1	2018/01/12	2019/01/12	3
AC	ALTRE CATEGORIE NON PROFESSION	59	00153	BIBLIOCARD	RMB-R1	2018/01/26	2019/01/26	0
AC	ALTRE CATEGORIE NON PROFESSION	60	00147	PASSCARD	RMB-R2	2018/01/13	2019/01/13	8
AC	ALTRE CATEGORIE NON PROFESSION	60	00168	PASSCARD	RMB-T1	2018/01/16	2019/01/16	1
AC	ALTRE CATEGORIE NON PROFESSION	64	00162	PASSCARD	RMB-B1	2018/01/15	2019/01/15	6
AC	ALTRE CATEGORIE NON PROFESSION	65	00136	PASSCARD	RMB-R2	2018/01/18	2019/01/18	0
AC	ALTRE CATEGORIE NON PROFESSION	66	00185	SOCIALCARD	RMB-A3	2018/01/24	2019/01/24	0
AC	ALTRE CATEGORIE NON PROFESSION	67	00128	BIBLIOCARD	RMB-N1	2018/01/17	2019/01/17	4
AC	ALTRE CATEGORIE NON PROFESSION	68		BIBLIOCARD	RMB-B1	2018/01/17	2019/01/17	2
AC	ALTRE CATEGORIE NON PROFESSION	68	00192	PASSCARD	RMB-S1	2018/01/30	2019/01/30	0
AC	ALTRE CATEGORIE NON PROFESSION	69	00162	PASSCARD	RMB-B1	2018/01/09	2019/01/09	1
AC	ALTRE CATEGORIE NON PROFESSION	70	00100	PASSCARD	RMB-R2	2018/01/03	2019/01/03	0
AC	ALTRE CATEGORIE NON PROFESSION	70	00122	BIBLIOCARD	RMB-O2	2018/01/17	2019/01/17	0
AC	ALTRE CATEGORIE NON PROFESSION	78	00133	BIBLIOCARD	RMB-H2	2018/01/15	2019/01/15	0
AC	ALTRE CATEGORIE NON PROFESSION	79	00128	BIBLIOCARD	RMB-M1	2018/01/31	2019/01/31	0
AC	ALTRE CATEGORIE NON PROFESSION	82	00128	SOCIALCARD	RMB-N1	2018/01/02	2019/01/02	2
AC	ALTRE CATEGORIE NON PROFESSION	93	01028	PASSCARD	RMB-A1	2018/01/03	2019/01/03	4
AL	ALTRI LAVORATORI DIPENDENTI	15	00146	YOUNGCARD	RMB-Q2	2018/01/29	2019/01/29	0
AL	ALTRI LAVORATORI DIPENDENTI	21	00155	BIBLIOCARD	RMB-G2	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	27	00067	PASSCARD	RMB-B3	2018/01/31	2019/01/31	2
AL	ALTRI LAVORATORI DIPENDENTI	27	00179	PASSCARD	RMB-B3	2018/01/03	2019/01/03	4
AL	ALTRI LAVORATORI DIPENDENTI	28	00132	BIBLIOCARD	RMB-H3	2018/01/02	2019/01/02	8
AL	ALTRI LAVORATORI DIPENDENTI	29	00100	BIBLIOCARD	RMB-F1	2018/01/20	2019/01/20	0
AL	ALTRI LAVORATORI DIPENDENTI	29	00167	BIBLIOCARD	RMB-C1	2018/01/24	2019/01/24	2
AL	ALTRI LAVORATORI DIPENDENTI	29	00174	PASSCARD	RMB-M1	2018/01/10	2019/01/10	16
AL	ALTRI LAVORATORI DIPENDENTI	30	00127	PASSCARD	RMB-O1	2018/01/31	2019/01/31	1
AL	ALTRI LAVORATORI DIPENDENTI	30	00173	BIBLIOCARD	RMB-L1	2018/01/15	2019/01/15	6
AL	ALTRI LAVORATORI DIPENDENTI	30	00179	PASSCARD	RMB-B3	2018/01/09	2019/01/09	1
AL	ALTRI LAVORATORI DIPENDENTI	31	04011	GRATISCARD	RMB-E1	2018/01/18	2019/01/18	1
AL	ALTRI LAVORATORI DIPENDENTI	32	00159	PASSCARD	RMB-B1	2018/01/04	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	32	00176	BIBLIOCARD	RMB-F1	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	32	00177	PASSCARD	RMB-F2	2018/01/27	2019/01/27	2
AL	ALTRI LAVORATORI DIPENDENTI	32	00179	BIBLIOCARD	RMB-I1	2018/01/24	2019/01/24	2
AL	ALTRI LAVORATORI DIPENDENTI	32	00191	BIBLIOCARD	RMB-B3	2018/01/08	2019/01/08	0
AL	ALTRI LAVORATORI DIPENDENTI	33	00019	BIBLIOCARD	RMB-M1	2018/01/18	2019/01/18	0
AL	ALTRI LAVORATORI DIPENDENTI	33	00168	PASSCARD	RMB-U1	2018/01/09	2019/01/09	3
AL	ALTRI LAVORATORI DIPENDENTI	33	00176	PASSCARD	RMB-F1	2018/01/15	2019/01/15	3
AL	ALTRI LAVORATORI DIPENDENTI	33	00176	PASSCARD	RMB-F1	2018/01/03	2019/01/03	9
AL	ALTRI LAVORATORI DIPENDENTI	34	00173	PASSCARD	RMB-L3	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	35	00044	PASSCARD	RMB-G1	2018/01/10	2019/01/10	0
AL	ALTRI LAVORATORI DIPENDENTI	35	00141	BIBLIOCARD	RMB-D1	2018/01/15	2019/01/15	2
AL	ALTRI LAVORATORI DIPENDENTI	35	00182	PASSCARD	RMB-I1	2018/01/20	2019/01/20	7
AL	ALTRI LAVORATORI DIPENDENTI	35	82100	PASSCARD	RMB-H2	2018/01/23	2019/01/23	4
AL	ALTRI LAVORATORI DIPENDENTI	36	00146	BIBLIOCARD	RMB-Q1	2018/01/13	2019/01/13	2
AL	ALTRI LAVORATORI DIPENDENTI	36	00175	BIBLIOCARD	RMB-V1	2018/01/24	2019/01/24	0
AL	ALTRI LAVORATORI DIPENDENTI	37	00176	BIBLIOCARD	RMB-F1	2018/01/09	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	37	00182	BIBLIOCARD	RMB-I1	2018/01/08	2019/01/08	7
AL	ALTRI LAVORATORI DIPENDENTI	37	00185	BIBLIOCARD	RMB-M1	2018/01/02	2019/01/02	2
