Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Adulticida;Adicip;Amplat;Aquacyp;Aquakhotrine;Aquapy;Bifemite;Bio-Amplat;Bio Revanol;Boxtar;Cipekill EC;Cipertrin T;Ciperwall;Cipex 10E;Crackdown Rapid;Cymina Plus;Cymina Ultra Tec;Cyperbase;Deadyna;Decapy flow;Deltabios;Deltacid 25P;Deltakill flow;Deltasect;Delta Super;Deltrin flow;Ekoset;Etocinque;Exit 100;Fendona;Fenthrin;Garban;K-othrine AL;K othrine flow 25;Microsin;Microthrin;Nexa;Nurelle;Permebase;Permeplus;Permesol;Permex 22E;Pertrin L;Pertrin S;Piretrum micro;Pluricid;Romal 65;Rothryn 200;Rothryn 50;Sintores;Solfac;Tator;Tetracip Zapi;Tetraperm ABD;Veloxidin;Wacip 1000;Zamho;Larvicida;Aedex;Altogran;Aqua-larv;Aquatain;Baycidal WP 25;Device TB2;Diflox cpr.;Diflox flow.;DuDim SC15;DuDim TB2;Flubex;Green Larv;Juvenox sc 15;Larvistop;No-Larv;Porter;Proxilar com.;Roltab;Sandokan 7335;Skeetal;Sumilarv;Vectobac DT;Vectobac G;Vectobac 12 AS;Vectomax;Toolex;;Cipermetrina (adulticida);Tetrametrina (adulticida);Diflubenzuron (Larvicida);Pyriproxyfen (Larvicida);Non Specificato
Via Massa San Giuliano 494;00132;RM;Roma;4;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Montappone 26;00138;RM;Roma;3;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via ??? 58;00176;RM;Roma;???;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Vicolo D'Aste 12;00159;RM;Roma;4;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Boetti Valvassura 80;00139;RM;Roma;3;Italia;Larvicida e Adulticida;6;5;giu-16;nov-16;giu-16;nov-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
Via Monte Amiata SNC;00139;RM;Roma;3;Italia;Larvicida e Adulticida;6;5;giu-16;nov-16;giu-16;nov-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
Via Monte Amiata 22/32;00139;RM;Roma;3;Italia;Larvicida e Adulticida;6;5;giu-16;nov-16;giu-16;nov-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
Via Monte Amiata 8;00139;RM;Roma;3;Italia;Larvicida e Adulticida;6;5;giu-16;nov-16;giu-16;nov-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
Via Sergio Tofano 209;00139;RM;Roma;3;Italia;Larvicida e Adulticida;6;5;mag-16;set-16;giu-16;ott-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
Via Bitti 19;00132;RM;Roma;5;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via/Largo Vercelli 9 Bis;00182;RM;Roma;7;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Domenico De Dominicis 16;00159;RM;Roma;4;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Rivisondoli 14/16;00156;RM;Roma;4;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Angelo Baldasarri 25;00139;RM;Roma;3;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Antonio Bertola 13;00176;RM;Roma;7;Italia;Larvicida;6;;giu-16;nov-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
