MUN,Prot. AMA caditoie,AREA,A.E.T.,ZONA,"VIA, PIAZZA etc.",TRATTA,"Metri
[*2]","ORARIO DI SERVIZIO PERIODO 
B","ORARIO DI SERVIZIO PERIODO 
A","ORARIO DI SERVIZIO PERIODO 
C","FREQUENZA 
B","FREQUENZA 
A","IDENTIFICATIVO SQUADRE PERIODO 
B","IDENTIFICATIVO SQUADRE PERIODO 
A",1/11/17,2/11/17,3/11/17,4/11/17,5/11/17,6/11/17,7/11/17,8/11/17,9/11/17,10/11/17,11/11/17,12/11/17,13/11/17,14/11/17,15/11/17,16/11/17,17/11/17,18/11/17,19/11/17,20/11/2017 - inizio B,21/11,22/11,23/11,24/11,25/11,26/11,27/11,28/11,29/11,30/11,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12/2017 - inizio A,12/12,13/12,14/12,15/12,16/12,17/12,18/12,19/12,20/12,21/12,22/12,23/12,24/12,25/12,26/12,27/12,28/12,29/12,30/12,31/12,1/1,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/1,"10/01/2018
inizio B",11/1,12/1,13/1,14/1,15/1,16/1,17/1,18/1,19/1,20/1,21/1,22/1,23/1,24/1,25/1,26/1,27/1,28/1,29/1,30/1,31/1
II,66650/2016E,SA,A02AF,02A,VIA TOMMASO SALVINI,,962,,,,B1,A2,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,X,,,
II,,SA,A02AA,02A,LUNGOTEVERE DELLE NAVI,,940,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,SIMU,SA,A02AA,02A,LUNGOTEVERE FLAMINIO,,520,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AB,02A,LUNGOTEVERE GRANDE A.GLIO THAON DI REVEL,,326,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AB,02A,LUNGOTEVERE SALVO D'ACQUISTO,,672,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AB,02A,PIAZZA DEI CARRACCI,,260,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AB,02A,VIA GIOVANNI PAOLO PANNINI,,292,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AB,02A,VIA PIER DELLA FRANCESCA,,284,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,LARGO IGNAZIO JACOMETTI,,144,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,PIAZZA APOLLODORO,,300,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,PIAZZA EUCLIDE,,400,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,PIAZZALE ANKARA,,270,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,PIAZZALE CARDINAL CONSALVI,,470,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,
II,,SA,A02AC,02A,PIAZZALE DELLO STADIO FLAMINIO,,60,,,,B2,A2,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,
II,,SA,A02AC,02A,VIA DELLO STADIO FLAMINIO,,1230,,,,B2,A2,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,
II,,SA,A02AC,02A,VIA DI S. VALENTINO,,540,,,,B2,A2,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,
II,,SA,A02AC,02A,VIA FRA GIOCONDO,VIA FLAMINIA - VIALE TIZIANO,40,,,,B2,A2,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,
II,,SA,A02AC,02A,VIA GIROLAMO DA CARPI,VIA DONATELLO VIALE TIZIANO,120,,,,B2,A2,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,
