MUN,Prot. AMA caditoie,AREA,A.E.T.,ZONA,"VIA, PIAZZA etc.",TRATTA,"Metri
[*2]","ORARIO DI SERVIZIO PERIODO 
B","ORARIO DI SERVIZIO PERIODO 
A","ORARIO DI SERVIZIO PERIODO 
C","FREQUENZA 
B","FREQUENZA 
A","IDENTIFICATIVO SQUADRE PERIODO 
B","IDENTIFICATIVO SQUADRE PERIODO 
A",1/11/17,2/11/17,3/11/17,4/11/17,5/11/17,6/11/17,7/11/17,8/11/17,9/11/17,10/11/17,11/11/17,12/11/17,13/11/17,14/11/17,15/11/17,16/11/17,17/11/17,18/11/17,19/11/17,20/11/2017 - inizio B,21/11,22/11,23/11,24/11,25/11,26/11,27/11,28/11,29/11,30/11,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12/2017 - inizio A,12/12,13/12,14/12,15/12,16/12,17/12,18/12,19/12,20/12,21/12,22/12,23/12,24/12,25/12,26/12,27/12,28/12,29/12,30/12,31/12,1/1,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/1,"10/01/2018
inizio B",11/1,12/1,13/1,14/1,15/1,16/1,17/1,18/1,19/1,20/1,21/1,22/1,23/1,24/1,25/1,26/1,27/1,28/1,29/1,30/1,31/1
I,,T.P.,A01EC,01E,VIA CASTRO PRETORIO,,800,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,SIMU,T.P.,A01EC,01E,VIALE CASTRO PRETORIO,,1000,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FA,01F,VIA CARLO ALBERTO,,666,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FB,01F,VIA UMBERTO BIANCAMANO,,876,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,X,
I,,T.P.,A01FB,01F,VIA CONTE VERDE,,612,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FB,01F,VIA DI S. CROCE IN GERUSALEMME,,1150,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FB,01F,VIALE CARLO FELICE,Compresa laterale (fare di notte),1740,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FB,01F,VIALE MANZONI,,1600,,,,B1,A3,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A01FB,01F,VIA LUDOVICO DI SAVOIA,,730,,,,B2,A3,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,
I,,T.P.,A01FB,01F,VIA SAN QUINTINO,,530,,,,B2,A3,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,
I,,T.P.,A01FB,01F,VIA STATILIA,,750,,,,B2,A3,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,
I,SIMU,T.P.,A01FC,01F,VIA MERULANA,,2800,,,,B1,A1,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,X,,,,,,,X,,,,,,,X,,
I,,T.P.,A01FC,01F,VIA EMANUELE FILIBERTO,PIAZZA VITTORIO EMANUELE II - VIALE MANZONI,1654,,,,B2,A3,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,,,,
I,,T.P.,A17AA,17A,VIALE DEGLI AMMIRAGLI,,1400,,,,B2,A2,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,
I,,T.P.,A17AB,17A,VIA BARLETTA,,698,,,,B1,A1,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,X,,,,,,,X,,,,,,,X,,
I,,T.P.,A17AE,17A,VIALE GIULIO CESARE,,4090,,,,B1,A1,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,,,,X,,,,,,,X,,,,,,,X,,
I,,T.P.,A17AE,17A,VIA CARLO ALBERTO DALLA CHIESA,,863,,,,B2,A2,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
I,,T.P.,A17AE,17A,VIA LEPANTO,,316,,,,B2,A2,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
I,,T.P.,A17AE,17A,VIA DAMIATA,,328,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A17AE,17A,VIA FORNOVO,,356,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,SIMU,T.P.,A17BA,17A,VIALE GIUSEPPE MAZZINI,,4164,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,SIMU,T.P.,A17BA,17A,CIRCONVALLAZIONE CLODIA,,2996,,,,B2,A3,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,X,,,,,,,
I,SIMU,T.P.,A17BA,17A,CIRCONVALLAZIONE TRIONFALE,,1100,,,,B2,A3,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,X,,,,,,,
I,,T.P.,A17BA,17A,PIAZZALE CLODIO,,1246,,,,B2,A3,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
I,SIMU,T.P.,A17BC,17A,VIALE DELLE MILIZIE,,4784,,,,B1,A1,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,,,,X,,,,,,,X,,,,,,,X,,
I,SIMU,T.P.,A17BC,17A,VIALE ANGELICO,,320,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,A17BC,17A,VIA ANGELO BROFFERIO,,652,,,,B2,A3,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
I,,T.P.,A17BE,17A,PIAZZA GIUSEPPE MAZZINI,,646,,,,B2,A2,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,X
I,,T.P.,A18AE,17A,VIA ANGELO EMO,,1900,,,,B2,A2,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,X
I,,T.P.,,17A,PIAZZA GIOVINE ITALIA,,130,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
I,,T.P.,,17A,VIA TOMMASO GULLI,,130,,,,B1,A3,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,
II,SIMU,SA,A02AE,02A,VIALE PARIOLI,priorità massima su 2 Municipio,2600,,,,B1,A1,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,,,,,X,,,,,,,,,,,,,X,,,
II,67151/2016E,SA,A02AA,02A,VIALE TIZIANO,VIA DELLE BELLE ARTI -  LUNGOTEVERE SALVO D'ACQUISTO,5008,,,,B1,A2,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,X,,,
II,66650/2016E,SA,A02AB,02A,VIA GUIDO RENI,2a priorità (sul municipio),2654,,,,B1,A2,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,X,,,
II,66650/2016E,SA,A02AB,02A,VIALE DEL VIGNOLA,priorità massima su 2 Municipio,3850,,,,B1,A2,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,X,,,
II,66650/2016E,SA,A02AB,02A,VIALE PINTURICCHIO,2a priorità (sul municipio),3048,,,,B1,A2,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,X,,,
II,,SA,A02AB,02A,PIAZZA ANTONIO MANCINI,,440,,,,B1,A2,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,,,X,,,,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,X,,,
