Mercati rionali.;;;
Roma Capitale;;;
;;;
;;;
Municipio;Indirizzo;Tipologia;Posteggi complessivi del Mercato
9; SPINACETO VIA CADUTI PER LA RESISTENZA ; PLATEATICO;64
9; TOR DE' CENCI VIA RENZO BERTANI ; PLATEATICO;37
9; VIGNA MURATA VIA A. MELDOLA ; PLATEATICO;54
9; DECIMA VIA SANSOTTA ;SCOPERTO;
10; CASAL BERNOCCHI VIA BIAGI ; COPERTO;20
10;PALOCCO;COPERTO;40
10; OSTIA I VIA ORAZIO DELLO SBIRRO ; COPERTO;67
10; OSTIA LIDO NORD VIA DELL'APPAGLIATORE ; PLATEATICO;76
10;OSTIA CAPO PASSERO;PLATEATICO;38
11; MAGLIANA VIA VICOPISANO ; PLATEATICO;84
11; TRULLO VIA CAMPAGNATICO ; COPERTO;27
11; CASETTA MATTEI VIA LA CONTEA ;SCOPERTO;
11; FERMI VIA D. MACALUSO ;SCOPERTO;
11; MONTECUCCO VIA G. PORZIO ;SCOPERTO;
11; PORTUENSE II VIA PORTUENSE ;SCOPERTO;
11; PORTUENSE III VIA DEGLI IRLANDESI ;SCOPERTO;
12; DE CALVI LARGO S. EUFRASIA PELETTIER ; PLATEATICO;36
12; BRAVETTA PIAZZA DEI VISCONTI ;SCOPERTO;
12; DONNA OLIMPIA VIA DI DONNA OLIMPIA ;SCOPERTO;
12; GIANICOLENSE PIAZZA S.GIOVANNI DI DIO ;SCOPERTO;
12; MONREALE VIA MONREALE ;SCOPERTO;
12; MONTEVERDE VECCHIO VIA G. B. NICCOLINI ;SCOPERTO;
12; PORTUENSE I VIA ETTORE ROLLI ;SCOPERTO;
12; VASCELLO LARGO MICELI ;SCOPERTO;
13; CASALOTTI VIA BORGO TICINO ; PLATEATICO;51
13; IRNERIO VIA AURELIA 483 ; PLATEATICO;79
13; AURELIO PIAZZA S.SILVERIO ;SCOPERTO;
13; PINETA SACCHETTI VIA URBANO II° ;SCOPERTO;
13; SISTO IV VIA SISTO IV° ;SCOPERTO;
14; PRIMAVALLE I VIA S.IGINO PAPA ; COPERTO;56
14; BELSITO PIAZZA C.MAZZARESI ; COPERTO;52
14; PRIMAVALLE II VIA PASQUALE II ; PLATEATICO;50
14; MONTE MARIO PIAZZA THOUAR ;SCOPERTO;
14; TORREVECCHIA VIA SCIAMANNA ;SCOPERTO;
14; VEGEZIO VIA VEGEZIO ;SCOPERTO;
15; PONTE MILVIO VIA RIANO ;PLATEATICO;73
15; FLAMINIO NUOVO VIA TUSCIA ;SCOPERTO;
15; TOR DI QUINTO VIA MONTELEONE DA SPOLETO ;SCOPERTO;
* Il Mercato di Via Sannio vende prodotti di abbigliamento;;;
