742008	Il *bambino che parlava con la luce : quattro storie di autismo / Maurizio Arduino. - Torino : Einaudi, 2014. - 287 p. ; 22 cm.	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2014									ITA	ITALIANO					IT	ITALIA	   	34265	null	06/02/2018	06/02/2018	F1	BIBLIOTECA GOFFREDO MAMELI	PRE	Prenotazione	attivo	In corso/Inserito da utente	27/02/2018	null	null	27/02/2018	F1	BIBLIOTECA GOFFREDO MAMELI	CA	CASALINGA			52	15105522	null
742706	L'*uccello del malaugurio / Camilla Lackberg. - Milano : Mondolibri, stampa 2012. - 462 p. ; 21 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2012									ITA	ITALIANO					IT	ITALIA	   	30309	null	05/02/2018	05/02/2018	Q2	BIBLIOTECA RENATO NICOLINI	PRE	Prenotazione	evaso	Evaso	05/02/2018	null	06/02/2018	06/02/2018	Q2	BIBLIOTECA RENATO NICOLINI	RL	RITIRATO DAL LAVORO			76	15040613	null
749778	L'*Italia può farcela : equità, flessibilità, democrazia : strategie per vivere nella globalizzazione / Alberto Bagnai. - Milano : Il saggiatore, 2014. - 494 p. ; 22 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2014									ITA	ITALIANO					IT	ITALIA	   	27432	null	08/02/2018	08/02/2018	O1	BIBLIOTECA SANDRO ONOFRI	RPSPOS	Richiesta di prestito intersistemico (immessa)	spedito	Doc. spedito a Bibl. richiedente	24/02/2018	14/03/2018	null	27/02/2018	U1	BIBLIOTECA FRANCO BASAGLIA	I	IMPIEGATO			50	15104638	632471
788094	La *vita davanti a sé / Romain Gary ; traduzione di Giovanni Bogliolo. - Vicenza : Neri Pozza, 2014. - 214 p. ; 21 cm. ((In copertina: Neri Pozza Romanzo	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2014									ITA	ITALIANO					IT	ITALIA	   	41683	null	06/02/2018	06/02/2018	A3	BIBLIOTECA ENZO TORTORA	PRE	Prenotazione	attivo	In corso/Inserito da utente	20/02/2018	null	null	20/02/2018	A3	BIBLIOTECA ENZO TORTORA	RL	RITIRATO DAL LAVORO			81	15090240	null
797058	1: *Benedizione / Kent Haruf ; traduzione di Fabio Cremonesi. - Milano : NNE, 2015. - 277 p. ; 22 cm.	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	I	Inferiore	2015									ITA	ITALIANO					IT	ITALIA	   	27528	null	24/02/2018	24/02/2018	O1	BIBLIOTECA SANDRO ONOFRI	RPSPOS	Richiesta di prestito intersistemico (immessa)	spedito	Doc. spedito a Bibl. richiedente	28/02/2018	15/03/2018	null	01/03/2018	H1	BIBLIOTECA RUGANTINO	AL	ALTRI LAVORATORI DIPENDENTI			38	15110787	633164
808977	2.: Il *tempo dell'attesa / Elizabeth Jane Howard ; con un saggio di Hilary Mantel ; traduzione di Manuela Francescon. - Roma : Fazi, 2016. - 638 p. ; 22 cm. ((In copertina: La saga dei Cazalet, Secondo volume	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	I	Inferiore	2016									ITA	ITALIANO					IT	ITALIA	   	47256	null	16/02/2018	16/02/2018	B1	BIBLIOTECA VILLA LEOPARDI	PRE	Prenotazione	attivo	In corso/Inserito da utente	27/02/2018	null	null	27/02/2018	B1	BIBLIOTECA VILLA LEOPARDI	I	IMPIEGATO			63	15105604	null
812509	1.: Gli *anni della leggerezza / Elizabeth Jane Howard ; traduzione di Manuela Francescon. - Roma : Fazi, 2015. - 606 p. ; 22 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	I	Inferiore	2015									ITA	ITALIANO					IT	ITALIA	   	47236	null	16/02/2018	16/02/2018	B1	BIBLIOTECA VILLA LEOPARDI	PRE	Prenotazione	attivo	In corso/Inserito da utente	16/02/2018	null	null	16/02/2018	B1	BIBLIOTECA VILLA LEOPARDI	S	STUDENTE			14	15077515	null
816281	*Via Castellana Bandiera [Videoregistrazione] / un film di Emma Dante ; tratto dal romanzo ”Via Castellana Bandiera“ di Emma Dante ; scritto da Emma Dante e Giorgio Vasta in collaborazione con Licia Eminenti ; fotografia Gherardo Gossi. - CG Entertainment [distributore], 2016. - 1 DVD (98 min.) : color. ((Titolo del contenitore. - Caratteristiche tecniche: codice area 2; PAL; 16/9, 2.35:1; Dolby digital 5.1, 2.0. - Riproduzione del film: Italia, Francia, Svizzera, 2013; interpreti: Emma Dante, Elena Cotta, Alba Rohrwacher. - Lingue: italiano; sottotitoli: italiano per non udenti. - Data da repertori on-line. - Contenuti speciali: extra; trailer; backstage. - Film per tutti.	No	H	Audiovisivo	DV	DVD	M	Monografia	U	Uniche	2016									ITA	ITALIANO					IT	ITALIA	AU	437	null	07/02/2018	07/02/2018	WA	BIBLIOTECA FABRIZIO GIOVENALE	RPSPOS	Richiesta di prestito intersistemico (immessa)	arrivo	Doc. arrivato in Bibl. rich.	17/02/2018	09/03/2018	null	01/03/2018	I1	BIBLIOTECA NELSON MANDELA	AL	ALTRI LAVORATORI DIPENDENTI			64	15080245	630402
830712	Le *solitudini dell'anima / Maurizio De Giovanni ; [con un racconto sul giovane Ricciardi]. - [Milano] : Rizzoli, 2017. - 206 p. ; 22 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2017									ITA	ITALIANO					IT	ITALIA	   	32702	null	23/02/2018	23/02/2018	R2	BIBLIOTECA LONGHENA	PRE	Prenotazione	attivo	In corso/Inserito da utente	27/02/2018	null	null	27/02/2018	R2	BIBLIOTECA LONGHENA	I	IMPIEGATO			46	15107935	null
830712	Le *solitudini dell'anima / Maurizio De Giovanni ; [con un racconto sul giovane Ricciardi]. - [Milano] : Rizzoli, 2017. - 206 p. ; 22 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2017									ITA	ITALIANO					IT	ITALIA	   	32702	null	23/02/2018	23/02/2018	R2	BIBLIOTECA LONGHENA	PRE	Prenotazione	evaso	Evaso	27/02/2018	05/03/2018	02/03/2018	02/03/2018	R2	BIBLIOTECA LONGHENA	I	IMPIEGATO			66	15107356	null
837834	*Ferro e sangue / Liza Marklund ; traduzione di Laura Cangemi. - Venezia : Marsilio, 2017. - 373 p . ; 22 cm	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2017									ITA	ITALIANO					IT	ITALIA	   	35780	null	14/02/2018	14/02/2018	T2	BIBLIOTECA CORNELIA	PRE	Prenotazione	attivo	In corso/Inserito da utente	14/02/2018	null	null	14/02/2018	T2	BIBLIOTECA CORNELIA	LP	IMPRENDITORE E LIBERO PROFESS.			64	15070482	null
840694	*Hotel Grande A / Sjoerd Kuyper ; traduzione dal nederlandese di Anna Patrucco Becchi. - Roma : La Nuova Frontiera Junior, 2017. - 254 p. ; 21 cm.	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2017	R	Letteratura per ragazzi							ITA	ITALIANO					IT	ITALIA	   	9423	null	07/02/2018	07/02/2018	U2	BIBLIOTECA CASA DEL PARCO	RPSPOS	Richiesta di prestito intersistemico (immessa)	consegnato	Doc. consegnato a lettore	12/02/2018	23/02/2018	null	14/02/2018	WA	BIBLIOTECA FABRIZIO GIOVENALE	I	IMPIEGATO			54	15062763	628962
840694	*Hotel Grande A / Sjoerd Kuyper ; traduzione dal nederlandese di Anna Patrucco Becchi. - Roma : La Nuova Frontiera Junior, 2017. - 254 p. ; 21 cm.	Si	M	Libro moderno	LM	Testo a stampa (moderno)	M	Monografia	U	Uniche	2017	R	Letteratura per ragazzi							ITA	ITALIANO					IT	ITALIA	   	41773	null	23/02/2018	23/02/2018	A3	BIBLIOTECA ENZO TORTORA	RPSPOS	Richiesta di prestito intersistemico (immessa)	respinta	Respinta	27/02/2018	14/03/2018	27/02/2018	27/02/2018	O1	BIBLIOTECA SANDRO ONOFRI	I	IMPIEGATO			57	15105560	632734
