Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
3579002;15;01/12/2017 08:15:00;Strada Urbana;VIA DELLA CASETTA MATTEI;in prossimità;;del civico n.;27;;Infortunio per caduta del veicolo;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;0;12,42304;41,85128;-1;1;Ciclomotore;In marcia / fermata / arresto;Piaggio;Liberty;Conducente;1998;M;Rimandato;0;NON DECEDUTO;Non accertato;
3579046;1;01/12/2017 05:10:00;Strada Urbana;CORSO D'ITALIA;da specificare;;;;diramazione POLICLINICO;Veicolo in marcia contro ostacolo fisso;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;1;;;0;1;Autovettura privata;In marcia / fermata / arresto;Smart ;-;Conducente;1994;M;Illeso;0;;;
3579187;18;01/12/2017 07:30:00;Strada Urbana;VIA DI TORRE ROSSA;in prossimità;;del civico n.;35;;Ribaltamento senza urto contro ostacolo fisso;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;0;12,42797;41,89308;-1;1;Motociclo a solo;In marcia / fermata / arresto;Honda;SH 150;Conducente;1979;M;Rimandato;0;NON DECEDUTO;Non accertato;
3579308;17;01/12/2017 10:45:00;Strada Urbana;VIA VIRGINIO ORSINI;all'intersezione con;VIA DEGLI SCIPIONI;VIA DEGLI SCIPIONI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,46912;41,91127;0;1;Autovettura privata;In marcia / fermata / arresto;Audi;Q 3;Conducente;1960;M;Illeso;0;;;
3579308;17;01/12/2017 10:45:00;Strada Urbana;VIA VIRGINIO ORSINI;all'intersezione con;VIA DEGLI SCIPIONI;VIA DEGLI SCIPIONI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,46912;41,91127;0;2;Autovettura privata;In marcia / fermata / arresto;Fiat;Panda;Conducente;1941;F;Illeso;0;;;
3579383;3;01/12/2017 02:05:00;;CIRCONVALLAZIONE NOMENTANA;in prossimità;;del civico n.;212;;Veicolo in marcia contro veicoli fermi;;;;;;;;;;0;0;0;1;;;0;1;Autovettura privata;In marcia / fermata / arresto;Opel;Corsa;Conducente;0;M;Illeso;0;;;
3579533;10;01/12/2017 13:20:00;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;816;;Infortunio per caduta del veicolo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;12,54841;41,86367;-1;1;Motociclo a solo;In marcia / fermata / arresto;Honda;SH 300;Conducente;1959;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;
3579533;10;01/12/2017 13:20:00;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;816;;Infortunio per caduta del veicolo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;12,54841;41,86367;-1;2;Autovettura privata;In marcia / fermata / arresto;Ford;Focus;Conducente;1951;M;Illeso;0;;Non accertato;Inesploso
3579533;10;01/12/2017 13:20:00;Strada Urbana;VIA TUSCOLANA;in prossimità;;del civico n.;816;;Infortunio per caduta del veicolo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;12,54841;41,86367;-1;2;Autovettura privata;In marcia / fermata / arresto;Ford;Focus;Passeggero;1949;F;Illeso;0;;Non accertato;Inesploso
3579668;18;01/12/2017 09:20:00;Strada Urbana;VIA S. SECONDA;in prossimità;;del civico n.;16A;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,36779;41,91755;0;1;Autovettura privata;In marcia / fermata / arresto;Peugeot;107;Conducente;1976;F;Illeso;0;;;
3579668;18;01/12/2017 09:20:00;Strada Urbana;VIA S. SECONDA;in prossimità;;del civico n.;16A;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,36779;41,91755;0;2;Autovettura privata;In marcia / fermata / arresto;Volkswagen;Golf;Conducente;1983;M;Illeso;0;;;
3579703;19;01/12/2017 06:50:00;Strada Urbana;VIA DELL'ACQUEDOTTO DEL PESCHIERA;da specificare;;;;alt. Via Acquedotto Paolo;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;12,42453;41,93807;-1;1;Autovettura privata;In marcia / fermata / arresto;Opel;Corsa;Conducente;1941;M;Illeso;0;;Non accertato;
3579703;19;01/12/2017 06:50:00;Strada Urbana;VIA DELL'ACQUEDOTTO DEL PESCHIERA;da specificare;;;;alt. Via Acquedotto Paolo;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;12,42453;41,93807;-1;2;Motociclo a solo;In marcia / fermata / arresto;Triumph;Daytona;Conducente;1978;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;
3579735;9;01/12/2017 08:40:00;;VIA ETRURIA;in corrispondenza;;del civico n.;44;;Veicolo in marcia contro veicolo in sosta;;;;;;;;;;0;0;0;2;;;0;1;Autovettura privata;In marcia / fermata / arresto;Toyota;Auris;Conducente;1972;M;Illeso;0;;;
3579735;9;01/12/2017 08:40:00;;VIA ETRURIA;in corrispondenza;;del civico n.;44;;Veicolo in marcia contro veicolo in sosta;;;;;;;;;;0;0;0;2;;;0;2;Autovettura privata;In marcia / fermata / arresto;Renault;Clio;Conducente;1966;M;Illeso;0;;;
3579759;9;01/12/2017 09:45:00;;VIA GALLIA;all'intersezione con;VIA METAPONTO;VIA METAPONTO;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;1;Autovettura privata;In marcia / fermata / arresto;Fiat;Panda;Conducente;1943;M;Illeso;0;;;
3579759;9;01/12/2017 09:45:00;;VIA GALLIA;all'intersezione con;VIA METAPONTO;VIA METAPONTO;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;1;Autovettura privata;In marcia / fermata / arresto;Fiat;Panda;Passeggero;0;F;Illeso;0;;;
3579759;9;01/12/2017 09:45:00;;VIA GALLIA;all'intersezione con;VIA METAPONTO;VIA METAPONTO;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Motociclo a solo;In marcia / fermata / arresto;MBK;yamaha;Conducente;1988;M;Rimandato;0;NON DECEDUTO;;
