Popolazione iscritta in anagrafe al 31 dicembre 2015 per municipio, sesso e singolo anno di età;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;
;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;Non localizzati;;;Totale;;;;;
Età;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;;;
63;957;1.218;2.175;897;1.104;2.001;1.061;1.328;2.389;1.081;1.111;2.192;1.228;1.420;2.648;1.192;1.271;2.463;1.644;1.986;3.630;678;937;1.615;996;1.104;2.100;1.149;1.264;2.413;712;853;1.565;705;926;1.631;651;788;1.439;921;1.066;1.987;767;937;1.704;12;6;18;14.651;17.319;31.970;;;
64;1.019;1.167;2.186;884;1.163;2.047;1.027;1.369;2.396;987;1.213;2.200;1.177;1.317;2.494;1.157;1.187;2.344;1.579;1.934;3.513;684;855;1.539;948;1.066;2.014;1.071;1.280;2.351;665;860;1.525;709;858;1.567;616;795;1.411;864;1.094;1.958;700;883;1.583;5;6;11;14.092;17.047;31.139;;;
65;1.090;1.211;2.301;855;1.167;2.022;977;1.405;2.382;1.028;1.231;2.259;1.155;1.435;2.590;1.185;1.286;2.471;1.561;1.958;3.519;745;893;1.638;1.016;1.109;2.125;1.163;1.279;2.442;734;931;1.665;677;885;1.562;641;803;1.444;891;1.094;1.985;760;908;1.668;6;8;14;14.484;17.603;32.087;;;
66;1.043;1.200;2.243;885;1.170;2.055;1.057;1.366;2.423;978;1.149;2.127;1.127;1.340;2.467;1.093;1.207;2.300;1.583;1.862;3.445;709;915;1.624;933;1.081;2.014;1.101;1.404;2.505;708;918;1.626;706;893;1.599;683;778;1.461;893;1.091;1.984;762;909;1.671;5;4;9;14.266;17.287;31.553;;;
67;1.037;1.270;2.307;890;1.223;2.113;1.076;1.471;2.547;1.035;1.311;2.346;1.310;1.402;2.712;1.164;1.277;2.441;1.671;2.082;3.753;732;933;1.665;989;1.113;2.102;1.147;1.451;2.598;738;960;1.698;761;952;1.713;638;828;1.466;952;1.145;2.097;758;957;1.715;7;3;10;14.905;18.378;33.283;;;
68;1.059;1.218;2.277;982;1.171;2.153;1.095;1.487;2.582;1.034;1.299;2.333;1.145;1.493;2.638;1.089;1.251;2.340;1.664;2.022;3.686;768;969;1.737;990;1.135;2.125;1.157;1.459;2.616;800;1.075;1.875;698;960;1.658;740;829;1.569;900;1.138;2.038;730;930;1.660;4;3;7;14.855;18.439;33.294;;;
69;1.059;1.316;2.375;916;1.163;2.079;1.100;1.471;2.571;1.029;1.242;2.271;1.157;1.463;2.620;1.056;1.183;2.239;1.712;2.064;3.776;801;990;1.791;925;1.061;1.986;1.156;1.348;2.504;812;1.110;1.922;703;973;1.676;678;871;1.549;875;1.176;2.051;679;953;1.632;8;9;17;14.666;18.393;33.059;;;
70;823;1.038;1.861;751;953;1.704;908;1.230;2.138;876;946;1.822;881;1.133;2.014;815;912;1.727;1.272;1.659;2.931;603;743;1.346;775;892;1.667;924;1.160;2.084;682;912;1.594;548;849;1.397;545;699;1.244;724;969;1.693;602;785;1.387;6;6;12;11.735;14.886;26.621;;;
71;839;949;1.788;698;924;1.622;902;1.178;2.080;825;983;1.808;886;1.151;2.037;862;980;1.842;1.335;1.573;2.908;633;762;1.395;763;869;1.632;919;1.167;2.086;702;891;1.593;592;799;1.391;492;741;1.233;707;1.009;1.716;583;817;1.400;6;8;14;11.744;14.801;26.545;;;
72;895;1.137;2.032;800;1.104;1.904;994;1.261;2.255;860;990;1.850;930;1.257;2.187;795;983;1.778;1.366;1.697;3.063;645;833;1.478;765;940;1.705;953;1.267;2.220;732;931;1.663;605;943;1.548;570;750;1.320;714;1.029;1.743;642;841;1.483;7;8;15;12.273;15.971;28.244;;;
73;842;1.070;1.912;767;1.035;1.802;950;1.231;2.181;809;990;1.799;877;1.258;2.135;776;920;1.696;1.279;1.744;3.023;655;883;1.538;736;881;1.617;929;1.209;2.138;700;960;1.660;621;893;1.514;559;738;1.297;688;1.037;1.725;643;805;1.448;4;6;10;11.835;15.660;27.495;;;
74;863;1.060;1.923;780;1.019;1.799;945;1.209;2.154;790;1.025;1.815;1.013;1.300;2.313;754;936;1.690;1.307;1.755;3.062;581;852;1.433;771;941;1.712;1.043;1.175;2.218;732;956;1.688;626;935;1.561;515;743;1.258;734;965;1.699;668;846;1.514;8;9;17;12.130;15.726;27.856;;;
75;866;1.098;1.964;784;1.152;1.936;1.008;1.423;2.431;852;1.036;1.888;987;1.459;2.446;847;1.066;1.913;1.351;1.960;3.311;677;960;1.637;796;965;1.761;1.051;1.332;2.383;770;1.047;1.817;652;1.023;1.675;591;842;1.433;784;1.085;1.869;650;925;1.575;8;5;13;12.674;17.378;30.052;;;
76;795;1.015;1.810;746;1.022;1.768;942;1.348;2.290;818;1.084;1.902;997;1.467;2.464;760;1.026;1.786;1.415;1.855;3.270;663;873;1.536;775;935;1.710;958;1.127;2.085;738;1.045;1.783;638;976;1.614;559;816;1.375;817;1.108;1.925;650;857;1.507;6;3;9;12.277;16.557;28.834;;;
77;841;942;1.783;654;1.039;1.693;863;1.288;2.151;766;949;1.715;940;1.443;2.383;762;930;1.692;1.330;1.875;3.205;600;849;1.449;712;886;1.598;879;1.076;1.955;720;897;1.617;652;967;1.619;541;768;1.309;743;1.050;1.793;595;811;1.406;5;5;10;11.603;15.775;27.378;;;
78;716;927;1.643;570;927;1.497;760;1.062;1.822;644;879;1.523;914;1.422;2.336;662;904;1.566;1.179;1.824;3.003;564;724;1.288;616;781;1.397;837;1.019;1.856;659;885;1.544;573;882;1.455;492;708;1.200;628;999;1.627;550;705;1.255;8;6;14;10.372;14.654;25.026;;;
79;599;917;1.516;524;919;1.443;766;1.007;1.773;608;823;1.431;838;1.266;2.104;624;779;1.403;1.017;1.618;2.635;486;707;1.193;561;748;1.309;659;900;1.559;556;830;1.386;546;783;1.329;435;695;1.130;670;897;1.567;520;739;1.259;9;11;20;9.418;13.639;23.057;;;
80;569;841;1.410;549;883;1.432;743;1.026;1.769;630;784;1.414;858;1.266;2.124;593;825;1.418;1.075;1.605;2.680;461;722;1.183;513;719;1.232;726;844;1.570;510;792;1.302;536;837;1.373;427;731;1.158;644;954;1.598;456;668;1.124;5;7;12;9.295;13.504;22.799;;;
81;558;855;1.413;490;775;1.265;606;1.003;1.609;552;780;1.332;794;1.274;2.068;537;753;1.290;1.001;1.518;2.519;417;618;1.035;504;668;1.172;609;834;1.443;508;767;1.275;470;772;1.242;400;693;1.093;553;884;1.437;374;664;1.038;5;8;13;8.378;12.866;21.244;;;
82;506;758;1.264;440;809;1.249;595;901;1.496;495;708;1.203;753;1.220;1.973;464;731;1.195;880;1.381;2.261;405;642;1.047;406;598;1.004;560;750;1.310;503;664;1.167;450;690;1.140;360;616;976;488;816;1.304;398;606;1.004;4;3;7;7.707;11.893;19.600;;;
83;437;704;1.141;431;774;1.205;518;813;1.331;415;700;1.115;612;1.150;1.762;400;623;1.023;816;1.348;2.164;337;592;929;393;575;968;456;658;1.114;363;648;1.011;402;681;1.083;326;604;930;480;710;1.190;366;541;907;3;1;4;6.755;11.122;17.877;;;
84;414;686;1.100;384;712;1.096;495;864;1.359;356;595;951;692;1.045;1.737;372;579;951;778;1.267;2.045;327;641;968;349;518;867;398;641;1.039;364;602;966;392;619;1.011;307;564;871;393;681;1.074;335;503;838;6;8;14;6.362;10.525;16.887;;;
85;387;685;1.072;346;762;1.108;464;807;1.271;371;575;946;628;1.076;1.704;320;586;906;683;1.295;1.978;309;579;888;314;540;854;403;564;967;336;566;902;360;632;992;328;577;905;372;647;1.019;328;484;812;2;11;13;5.951;10.386;16.337;;;
86;352;608;960;293;677;970;345;684;1.029;272;488;760;416;890;1.306;284;439;723;596;1.111;1.707;265;522;787;267;421;688;302;495;797;258;409;667;295;540;835;256;431;687;317;530;847;268;435;703;6;5;11;4.792;8.685;13.477;;;
87;252;529;781;301;575;876;295;635;930;233;407;640;400;796;1.196;242;414;656;476;1.007;1.483;234;434;668;221;370;591;223;414;637;208;379;587;224;489;713;208;399;607;281;501;782;199;360;559;2;8;10;3.999;7.717;11.716;;;
88;241;523;764;238;548;786;259;558;817;193;373;566;329;710;1.039;172;364;536;383;883;1.266;190;454;644;203;313;516;207;375;582;170;327;497;205;420;625;209;332;541;249;466;715;197;325;522;3;5;8;3.448;6.976;10.424;;;
89;205;468;673;215;515;730;206;455;661;143;343;486;278;608;886;146;316;462;346;770;1.116;154;370;524;151;281;432;141;323;464;144;321;465;187;390;577;140;345;485;181;388;569;140;288;428;3;3;6;2.780;6.184;8.964;;;
90;177;426;603;177;429;606;156;404;560;128;253;381;203;503;706;114;212;326;272;658;930;118;334;452;138;227;365;110;268;378;104;243;347;152;327;479;107;255;362;152;397;549;118;256;374;4;3;7;2.230;5.195;7.425;;;
oltre;592;1.580;2.172;574;1.977;2.551;486;1.481;1.967;278;786;1.064;615;1.650;2.265;293;748;1.041;850;2.371;3.221;422;1.228;1.650;342;814;1.156;329;1.012;1.341;278;789;1.067;412;1.260;1.672;347;956;1.303;479;1.318;1.797;338;798;1.136;16;25;41;6.651;18.793;25.444;;;
Totale;93.417;93.385;186.802;74.387;93.349;167.736;95.016;109.498;204.514;84.780;92.304;177.084;118.399;128.072;246.471;126.425;129.836;256.261;143.369;164.238;307.607;60.683;70.399;131.082;86.595;93.916;180.511;110.753;119.791;230.544;73.553;81.318;154.871;64.427;76.569;140.996;62.680;71.133;133.813;88.977;101.536;190.513;74.052;84.509;158.561;515;466;981;1.358.028;1.510.319;2.868.347;;;
Dati di Fonte Anagrafica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaborazioni Ufficio di Statistica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
