Popolazione iscritta in anagrafe al 31 dicembre 2015 per municipio, sesso e singolo anno di età;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;
;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;Non localizzati;;;Totale;;;;;
Età;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;;;
17;642;601;1.243;757;646;1.403;806;834;1.640;845;786;1.631;1.090;986;2.076;1.207;1.115;2.322;1.266;1.254;2.520;546;491;1.037;944;853;1.797;1.172;1.078;2.250;666;633;1.299;620;552;1.172;617;543;1.160;910;868;1.778;760;740;1.500;1;2;3;12.849;11.982;24.831;;;
18;638;652;1.290;755;721;1.476;855;786;1.641;803;742;1.545;1.038;1.004;2.042;1.218;1.057;2.275;1.266;1.218;2.484;558;515;1.073;908;825;1.733;1.158;1.071;2.229;663;625;1.288;587;578;1.165;617;532;1.149;852;829;1.681;750;683;1.433;2;-;2;12.668;11.838;24.506;;;
19;778;673;1.451;762;693;1.455;868;798;1.666;798;710;1.508;1.102;1.031;2.133;1.204;1.151;2.355;1.318;1.193;2.511;578;515;1.093;964;770;1.734;1.121;1.057;2.178;726;625;1.351;658;587;1.245;613;529;1.142;913;775;1.688;810;760;1.570;4;3;7;13.217;11.870;25.087;;;
20;1.218;592;1.810;775;699;1.474;898;786;1.684;761;764;1.525;1.143;1.057;2.200;1.273;1.104;2.377;1.382;1.201;2.583;609;547;1.156;878;824;1.702;1.100;1.048;2.148;698;594;1.292;597;624;1.221;587;527;1.114;940;840;1.780;819;738;1.557;5;2;7;13.683;11.947;25.630;;;
21;1.127;664;1.791;768;718;1.486;865;845;1.710;830;774;1.604;1.174;1.018;2.192;1.339;1.171;2.510;1.328;1.205;2.533;537;553;1.090;899;873;1.772;1.084;995;2.079;655;618;1.273;614;565;1.179;587;509;1.096;875;874;1.749;808;738;1.546;5;1;6;13.495;12.121;25.616;;;
22;1.098;731;1.829;720;800;1.520;890;855;1.745;869;805;1.674;1.177;1.054;2.231;1.262;1.226;2.488;1.315;1.358;2.673;575;521;1.096;906;818;1.724;1.088;1.040;2.128;746;606;1.352;599;561;1.160;638;568;1.206;960;874;1.834;745;797;1.542;4;3;7;13.592;12.617;26.209;;;
23;1.115;750;1.865;793;750;1.543;996;954;1.950;913;871;1.784;1.282;1.122;2.404;1.425;1.288;2.713;1.426;1.415;2.841;560;557;1.117;1.007;839;1.846;1.084;1.070;2.154;649;680;1.329;652;590;1.242;627;615;1.242;893;886;1.779;822;739;1.561;3;3;6;14.247;13.129;27.376;;;
24;1.183;699;1.882;786;763;1.549;908;883;1.791;874;902;1.776;1.245;1.139;2.384;1.380;1.367;2.747;1.438;1.411;2.849;532;541;1.073;872;824;1.696;1.097;1.005;2.102;707;657;1.364;665;584;1.249;603;598;1.201;957;877;1.834;775;739;1.514;4;2;6;14.026;12.991;27.017;;;
25;1.306;790;2.096;797;774;1.571;972;881;1.853;957;928;1.885;1.260;1.232;2.492;1.501;1.483;2.984;1.510;1.402;2.912;578;597;1.175;862;791;1.653;1.086;1.011;2.097;685;668;1.353;606;593;1.199;624;597;1.221;949;938;1.887;819;769;1.588;3;6;9;14.515;13.460;27.975;;;
26;1.317;854;2.171;723;792;1.515;907;875;1.782;968;924;1.892;1.301;1.286;2.587;1.585;1.502;3.087;1.412;1.469;2.881;552;542;1.094;911;813;1.724;1.036;1.040;2.076;721;700;1.421;648;571;1.219;648;645;1.293;905;851;1.756;758;752;1.510;3;3;6;14.395;13.619;28.014;;;
27;1.504;871;2.375;707;832;1.539;957;960;1.917;1.021;956;1.977;1.356;1.339;2.695;1.643;1.644;3.287;1.480;1.545;3.025;641;556;1.197;903;844;1.747;1.031;1.096;2.127;726;668;1.394;604;607;1.211;636;636;1.272;925;919;1.844;737;790;1.527;7;2;9;14.878;14.265;29.143;;;
28;1.441;921;2.362;793;848;1.641;908;962;1.870;972;971;1.943;1.401;1.257;2.658;1.608;1.646;3.254;1.465;1.454;2.919;607;571;1.178;904;920;1.824;1.058;1.083;2.141;763;750;1.513;553;588;1.141;631;650;1.281;974;992;1.966;776;858;1.634;2;3;5;14.856;14.474;29.330;;;
