Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
3655297;2;07/02/2018 08:50:00;;VIA PINCIANA;in corrispondenza;;del civico n.;8;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;4;;;0;1;Autovettura privata;In marcia / fermata / arresto;Nissan;Cabstar;Conducente;1991;M;Illeso;0;;;
3655297;2;07/02/2018 08:50:00;;VIA PINCIANA;in corrispondenza;;del civico n.;8;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;4;;;0;2;Autovettura privata;In marcia / fermata / arresto;Opel;Corsa;Conducente;1971;F;Illeso;0;;;
3655297;2;07/02/2018 08:50:00;;VIA PINCIANA;in corrispondenza;;del civico n.;8;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;4;;;0;2;Autovettura privata;In marcia / fermata / arresto;Opel;Corsa;Passeggero;2009;F;Illeso;0;;;
3655297;2;07/02/2018 08:50:00;;VIA PINCIANA;in corrispondenza;;del civico n.;8;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;4;;;0;3;Autovettura privata;In marcia / fermata / arresto;Toyota;Aygo;Conducente;1986;F;Illeso;0;;;
3659667;3;19/02/2018 19:45:00;Strada Urbana;VIA VAL DI CHIENTI;in corrispondenza;;del civico n.;34;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,52374;41,94345;0;1;Autovettura privata;In marcia / fermata / arresto;Lancia;Musa;Conducente;1983;M;Illeso;0;;Non accertato;
3659667;3;19/02/2018 19:45:00;Strada Urbana;VIA VAL DI CHIENTI;in corrispondenza;;del civico n.;34;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,52374;41,94345;0;2;Autovettura privata;In marcia / fermata / arresto;Fiat;Punto;Conducente;1973;M;Illeso;0;;Non accertato;
3664611;1;01/02/2018 01:30:00;Strada Urbana;VIALE CARLO FELICE;in prossimità;;del civico n.;103;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;1;;;0;1;Motociclo a solo;In marcia / fermata / arresto;Honda;SH 150;Conducente;1991;M;Illeso;0;;;
3664675;15;01/02/2018 08:00:00;Strada Urbana;VIA DELLE VIGNE;in prossimità;;del palo luce n.;9;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,42158;41,84288;0;1;Autovettura privata;In marcia / fermata / arresto;Toyota;Aygo;Conducente;1966;M;Illeso;0;;Non accertato;Inesploso
3664675;15;01/02/2018 08:00:00;Strada Urbana;VIA DELLE VIGNE;in prossimità;;del palo luce n.;9;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,42158;41,84288;0;1;Autovettura privata;In marcia / fermata / arresto;Toyota;Aygo;Passeggero;2003;F;Illeso;0;;Non accertato;Inesploso
3664675;15;01/02/2018 08:00:00;Strada Urbana;VIA DELLE VIGNE;in prossimità;;del palo luce n.;9;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,42158;41,84288;0;2;Motociclo a solo;In marcia / fermata / arresto;Yamaha;XCITY;Conducente;1971;M;Rimandato;0;NON DECEDUTO;;
